Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BNTX220916C00100000,20220318 10:34AM EDT,100.00,79.8,75.8,85,22.8,+40.00%,2,12,78.85%
BNTX220916C00110000,20220124 10:33AM EDT,110.00,45,49.9,57.3,0,,1,3,0.00%
BNTX220916C00130000,20220315 1:08PM EDT,130.00,38,53.2,62.5,0,,1,2,72.90%
BNTX220916C00140000,20220223 1:52PM EDT,140.00,30.65,46.8,56.2,0,,2,0,71.89%
BNTX220916C00145000,20220223 11:42AM EDT,145.00,30.57,44.3,53.3,0,,2,2,72.12%
BNTX220916C00150000,20220318 1:40PM EDT,150.00,44.75,41.4,50,8.8,+24.48%,5,17,71.06%
BNTX220916C00155000,20220318 2:04PM EDT,155.00,40.94,38.8,47.3,19.1,+87.45%,6,3,70.80%
BNTX220916C00160000,20220318 3:41PM EDT,160.00,39.44,36.2,44.6,7.44,+23.25%,2,3,70.27%
BNTX220916C00165000,20220317 9:30AM EDT,165.00,35.7,33.9,41.4,0,,3,226,69.28%
BNTX220916C00170000,20220318 11:22AM EDT,170.00,40.3,31.3,39.9,9.7,+31.70%,3,12,69.56%
BNTX220916C00175000,20220302 11:14AM EDT,175.00,14,29.3,37.5,0,,1,6,69.26%
BNTX220916C00180000,20220318 11:08AM EDT,180.00,31.2,27.1,35.6,0.6,+1.96%,5,22,69.06%
BNTX220916C00185000,20220318 1:42PM EDT,185.00,28.78,25.1,33.4,7.9,+37.84%,1,7,68.53%
BNTX220916C00190000,20220318 12:36PM EDT,190.00,26.1,23,32.4,11.65,+80.62%,1,8,68.92%
BNTX220916C00195000,20220318 1:56PM EDT,195.00,24.87,22.1,30.1,4.57,+22.51%,2,8,69.00%
BNTX220916C00200000,20220318 11:28AM EDT,200.00,24.23,21.3,28.1,4.47,+22.62%,4,233,69.30%
BNTX220916C00210000,20220317 3:31PM EDT,210.00,17.82,16.9,25.2,0,,1,3,67.61%
BNTX220916C00220000,20220318 11:44AM EDT,220.00,18.54,14.3,22.8,3.03,+19.54%,1,845,67.60%
BNTX220916C00230000,20220315 2:48PM EDT,230.00,7.75,14.2,20.3,0,,1,278,69.54%
BNTX220916C00240000,20220318 10:28AM EDT,240.00,14.5,12.3,14.8,5,+52.63%,2,65,65.66%
BNTX220916C00250000,20220314 9:42AM EDT,250.00,7,11,14.9,0,,1,186,68.18%
BNTX220916C00260000,20220302 1:47PM EDT,260.00,4.5,7.5,15.2,0,,3,111,67.97%
BNTX220916C00270000,20220303 3:06PM EDT,270.00,4.1,5.5,13.9,0,,1,21,67.15%
BNTX220916C00280000,20220311 11:02AM EDT,280.00,3.8,5.1,12.6,0,,1,27,67.97%
BNTX220916C00290000,20220318 9:41AM EDT,290.00,7.3,4.6,8.9,0.7,+10.61%,1,104,64.83%
BNTX220916C00300000,20220304 11:04AM EDT,300.00,2.5,3.3,7.7,0,,4,238,63.49%
BNTX220916C00310000,20220204 2:00PM EDT,310.00,8.9,0.8,4.4,0,,5,294,54.53%
BNTX220916C00320000,20220207 2:37PM EDT,320.00,5.91,0,4.8,0,,1,44,55.66%
BNTX220916C00330000,20220203 12:28PM EDT,330.00,6.8,0.1,4.5,0,,3,69,57.17%
BNTX220916C00340000,20220215 4:56PM EDT,340.00,4.06,0.8,4.5,0,,1,927,60.91%
BNTX220916C00350000,20220126 12:45PM EDT,350.00,4.3,0.5,5,0,,1,367,63.31%
BNTX220916C00360000,20220225 2:33PM EDT,360.00,2.15,1.7,5.9,0,,8,135,70.02%
BNTX220916C00370000,20220318 9:35AM EDT,370.00,2.5,1.1,5.1,0.8,24.24%,1,23,68.63%
BNTX220916C00380000,20220209 2:43PM EDT,380.00,3.13,0,2.95,0,,1,847,60.78%
BNTX220916C00390000,20220217 2:01PM EDT,390.00,2.52,0.1,4.9,0,,1,18,68.86%
BNTX220916C00400000,20220307 10:58AM EDT,400.00,1.1,0.65,4,0,,2,235,69.42%
BNTX220916C00410000,20220318 10:19AM EDT,410.00,1.9,0.25,4.1,0.08,4.04%,8,30,70.02%
BNTX220916C00420000,20220125 10:41AM EDT,420.00,2.65,0,4.4,0,,10,289,71.62%
BNTX220916C00430000,20211122 12:27PM EDT,430.00,41.63,19.8,26.1,0,,1,4,136.54%
BNTX220916C00440000,20211201 2:14PM EDT,440.00,60,13.2,16.7,0,,1,4,119.06%
BNTX220916C00450000,20220105 2:31PM EDT,450.00,9,1,5.7,0,,1,70,82.21%
BNTX220916C00460000,20220310 1:19PM EDT,460.00,0.6,0,4.8,0,,1,37,78.27%
BNTX220916C00470000,20220126 12:49PM EDT,470.00,2.25,0,4.8,0,,1,18,79.54%
BNTX220916C00480000,20220106 12:09PM EDT,480.00,6.64,0.5,5.2,0,,8,364,83.45%
BNTX220916C00490000,20211208 10:30AM EDT,490.00,35.18,0,0,0,,10,14,25.00%
BNTX220916C00500000,20220314 10:15AM EDT,500.00,0.6,0,3,0,,1,323,76.65%
BNTX220916C00510000,20220103 10:34AM EDT,510.00,9.83,0.6,5,0,,1,11,86.73%
BNTX220916C00520000,20220217 3:31PM EDT,520.00,1,0,3.9,0,,1,26,82.34%
BNTX220916C00530000,20220222 10:30AM EDT,530.00,0.9,0,4.8,0,,1,5,86.50%
BNTX220916C00540000,20211210 11:52AM EDT,540.00,15.8,3.3,7.5,0,,16,16,102.81%
BNTX220916C00550000,20211216 3:10PM EDT,550.00,17.9,0.85,3.4,0,,2,126,86.73%
BNTX220916C00560000,20211214 11:35AM EDT,560.00,16.47,0.9,3.7,0,,10,3,88.95%
BNTX220916C00570000,20211122 1:54PM EDT,570.00,24.8,6.5,14,0,,1,12,123.52%
BNTX220916C00580000,20211210 10:30AM EDT,580.00,15.1,1.15,4.7,0,,1,3,94.90%
BNTX220916C00600000,20220209 2:51PM EDT,600.00,0.8,0,1.8,0,,74,128,80.22%
BNTX220916C00620000,20211213 1:11AM EDT,620.00,18.4,1.5,4.7,0,,,0,99.72%
BNTX220916C00640000,20220120 1:30PM EDT,640.00,0.01,0,4.5,0,,10,10,95.98%
BNTX220916C00650000,20211129 11:03AM EDT,650.00,33.1,1.95,4.7,0,,2,10,103.69%
BNTX220916C00660000,20211123 3:57PM EDT,660.00,15.4,2.6,7.1,0,,2,7,112.39%
BNTX220916C00680000,20220124 11:01AM EDT,680.00,1,0,4.4,0,,1,157,98.90%
