Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BNTX220916C00095000,2022-03-15 11:32AM EDT,95.00,56.5,79.5,88.5,0,-,-,0,76.86%
BNTX220916C00100000,2022-03-21 12:02PM EDT,100.00,80.2,75.5,84.5,0,-,2,12,76.67%
BNTX220916C00105000,2022-03-21 2:58PM EDT,105.00,72,70.8,80.5,0,-,5,5,74.39%
BNTX220916C00110000,2022-01-24 10:33AM EDT,110.00,45,0,0,0,-,1,3,0.00%
BNTX220916C00130000,2022-03-15 1:08PM EDT,130.00,38,52.3,61.5,0,-,1,2,70.14%
BNTX220916C00140000,2022-02-23 1:52PM EDT,140.00,30.65,45.4,54.9,0,-,2,0,68.43%
BNTX220916C00145000,2022-02-23 11:42AM EDT,145.00,30.57,42,51.6,0,-,2,2,67.23%
BNTX220916C00150000,2022-03-22 12:10PM EDT,150.00,42.9,39.5,48.5,-1.85,-4.13%,1,17,67.10%
BNTX220916C00155000,2022-03-18 2:04PM EDT,155.00,40.94,36.5,45.6,0,-,6,8,66.30%
BNTX220916C00160000,2022-03-18 3:41PM EDT,160.00,39.9,34,43,0,-,1,4,66.15%
BNTX220916C00165000,2022-03-17 9:30AM EDT,165.00,35.7,32.3,39.8,0,-,3,226,65.93%
BNTX220916C00170000,2022-03-18 11:22AM EDT,170.00,40.3,29,37.7,0,-,3,12,64.91%
BNTX220916C00175000,2022-03-22 3:49PM EDT,175.00,31.44,27,35.6,17.44,+124.57%,2,6,65.01%
BNTX220916C00180000,2022-03-22 11:56AM EDT,180.00,28.72,25,33.6,2.82,+10.89%,1,26,64.98%
BNTX220916C00185000,2022-03-18 1:42PM EDT,185.00,28.78,23,31.6,0,-,1,8,64.70%
BNTX220916C00190000,2022-03-18 12:36PM EDT,190.00,26.1,21,29.9,0,-,1,8,64.50%
BNTX220916C00195000,2022-03-18 1:56PM EDT,195.00,24.87,19.5,28.1,0,-,2,10,64.50%
BNTX220916C00200000,2022-03-22 3:22PM EDT,200.00,22.5,18.3,25,1,+4.65%,1,237,63.25%
BNTX220916C00210000,2022-03-17 3:31PM EDT,210.00,17.82,15,23.5,0,-,1,3,64.09%
BNTX220916C00220000,2022-03-18 11:44AM EDT,220.00,18.54,12,20.6,0,-,1,846,63.04%
BNTX220916C00230000,2022-03-15 2:48PM EDT,230.00,7.75,10.3,18.5,0,-,1,278,63.56%
BNTX220916C00240000,2022-03-21 9:30AM EDT,240.00,14.8,8.2,15.8,0,-,10,77,62.33%
BNTX220916C00250000,2022-03-14 9:42AM EDT,250.00,7,6.5,14.6,0,-,1,186,62.70%
BNTX220916C00260000,2022-03-22 3:20PM EDT,260.00,8.75,5,12.3,4.25,+94.44%,18,111,61.39%
BNTX220916C00270000,2022-03-21 2:30PM EDT,270.00,8.7,5,12,0,-,11,32,64.23%
BNTX220916C00280000,2022-03-11 11:02AM EDT,280.00,3.8,5,9.9,0,-,1,27,64.34%
BNTX220916C00290000,2022-03-18 9:41AM EDT,290.00,7.3,2.2,7,0,-,1,105,58.10%
BNTX220916C00300000,2022-03-22 2:41PM EDT,300.00,4.8,1.3,6.1,2.3,+92.00%,1,238,57.23%
BNTX220916C00310000,2022-02-04 2:00PM EDT,310.00,8.9,0.8,4.4,0,-,5,294,54.75%
BNTX220916C00320000,2022-02-07 2:37PM EDT,320.00,5.91,0,4.6,0,-,1,44,55.38%
BNTX220916C00330000,2022-02-03 12:28PM EDT,330.00,6.8,0.1,4.5,0,-,3,69,57.41%
BNTX220916C00340000,2022-02-15 4:56PM EDT,340.00,4.06,0.8,4.5,0,-,1,927,61.18%
BNTX220916C00350000,2022-03-22 12:20PM EDT,350.00,1.85,1.5,3.5,-2.45,-56.98%,1,367,62.29%
BNTX220916C00360000,2022-02-25 2:33PM EDT,360.00,2.15,0.7,3.2,0,-,8,135,60.96%
BNTX220916C00370000,2022-03-18 9:35AM EDT,370.00,2.5,0.1,4.2,0,-,1,23,63.87%
BNTX220916C00380000,2022-02-09 2:43PM EDT,380.00,3.13,0.55,2.95,0,-,1,847,62.99%
BNTX220916C00390000,2022-02-17 2:01PM EDT,390.00,2.52,0.1,4.9,0,-,1,18,69.17%
BNTX220916C00400000,2022-03-07 10:58AM EDT,400.00,1.1,0.6,2.25,0,-,2,235,63.70%
BNTX220916C00410000,2022-03-22 12:57PM EDT,410.00,1.2,0.1,4.8,-0.7,-36.84%,1,24,71.99%
BNTX220916C00420000,2022-01-25 10:41AM EDT,420.00,2.65,0,4.4,0,-,10,289,71.95%
BNTX220916C00430000,2021-11-22 12:27PM EDT,430.00,41.63,19.9,26,0,-,1,4,137.18%
BNTX220916C00440000,2021-12-01 2:14PM EDT,440.00,60,13.2,16.7,0,-,1,4,119.61%
BNTX220916C00450000,2022-01-05 2:31PM EDT,450.00,9,1,5.7,0,-,1,70,82.59%
BNTX220916C00460000,2022-03-10 1:19PM EDT,460.00,0.6,0,3.7,0,-,1,37,74.99%
BNTX220916C00470000,2022-01-26 12:49PM EDT,470.00,2.25,0,4.8,0,-,1,18,79.91%
BNTX220916C00480000,2022-01-06 12:09PM EDT,480.00,6.64,0.5,5.2,0,-,8,364,83.84%
BNTX220916C00490000,2021-12-08 10:30AM EDT,490.00,35.18,0,0,0,-,10,14,25.00%
BNTX220916C00500000,2022-03-22 11:09AM EDT,500.00,2.31,0.5,4.6,1.71,+285.00%,137,323,84.47%
BNTX220916C00510000,2022-01-03 10:34AM EDT,510.00,9.83,0.6,5,0,-,1,11,87.13%
BNTX220916C00520000,2022-02-17 3:31PM EDT,520.00,1,0,3.9,0,-,1,26,82.73%
BNTX220916C00530000,2022-02-22 10:30AM EDT,530.00,0.9,0,4.6,0,-,1,5,86.24%
BNTX220916C00540000,2021-12-10 11:52AM EDT,540.00,15.8,3.3,7.5,0,-,16,16,103.30%
BNTX220916C00550000,2021-12-16 3:10PM EDT,550.00,17.9,0.85,3.4,0,-,2,126,87.15%
BNTX220916C00560000,2021-12-14 11:35AM EDT,560.00,16.47,1.5,4.8,0,-,10,3,94.63%
BNTX220916C00570000,2021-11-22 1:54PM EDT,570.00,24.8,6.3,12.5,0,-,1,12,121.39%
BNTX220916C00580000,2022-03-22 11:09AM EDT,580.00,2.19,2.1,4.4,-12.91,-85.50%,129,0,97.24%
BNTX220916C00600000,2022-03-22 10:43AM EDT,600.00,1.52,0,3.6,0.72,+90.00%,7,128,89.50%
BNTX220916C00620000,2021-12-13 1:11AM EDT,620.00,18.4,0,0,0,-,-,0,25.00%
BNTX220916C00640000,2022-01-20 1:30PM EDT,640.00,0.01,0,4.5,0,-,10,10,96.45%
BNTX220916C00650000,2021-11-29 11:03AM EDT,650.00,33.1,1.15,4.8,0,-,2,10,102.11%
BNTX220916C00660000,2021-11-23 3:57PM EDT,660.00,15.4,2.6,7.1,0,-,2,7,112.94%
BNTX220916C00680000,2022-03-22 10:19AM EDT,680.00,1.57,0,1.45,0.57,+57.00%,1,157,84.47%
