Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
BNTX220617C00085000,2022-01-21 3:26PM EDT,85.00,68.24,70.7,77.6,0,-,2,2,0.00%
BNTX220617C00090000,2022-02-22 10:31AM EDT,90.00,65.1,82,90.5,0,-,1,2,90.28%
BNTX220617C00100000,2022-03-17 1:55PM EDT,100.00,68.9,72.8,80.2,0,-,5,7,80.74%
BNTX220617C00105000,2022-01-24 12:50PM EDT,105.00,46,43.8,47.9,0,-,-,1,0.00%
BNTX220617C00110000,2022-03-15 9:38AM EDT,110.00,49,63.5,71.9,0,-,-,50,79.28%
BNTX220617C00115000,2022-02-23 12:16PM EDT,115.00,38.5,59.1,68.5,0,-,1,3,80.74%
BNTX220617C00120000,2022-03-21 12:43PM EDT,120.00,58.5,56,62.6,0,-,6,8,77.54%
BNTX220617C00125000,2022-01-03 10:55AM EDT,125.00,119,60.6,63.6,0,-,2,4,108.59%
BNTX220617C00130000,2022-03-17 9:47AM EDT,130.00,44.98,47,55.9,0,-,1,12,76.09%
BNTX220617C00135000,2022-03-17 9:54AM EDT,135.00,40.97,43.3,52,0,-,4,32,75.01%
BNTX220617C00140000,2022-03-21 1:48PM EDT,140.00,41.08,40.4,47,0,-,2,90,72.79%
BNTX220617C00145000,2022-03-18 10:00AM EDT,145.00,43.8,38.3,42.2,0,-,1,7,72.08%
BNTX220617C00150000,2022-03-18 3:26PM EDT,150.00,39.7,33.9,39.8,0,-,1,229,70.98%
BNTX220617C00155000,2022-03-22 3:57PM EDT,155.00,34.8,32,37,-3.2,-8.42%,1,27,72.90%
BNTX220617C00160000,2022-03-18 3:39PM EDT,160.00,32,29.6,34.4,0,-,2,60,73.60%
BNTX220617C00165000,2022-03-22 12:06PM EDT,165.00,27,25.1,31.6,-0.5,-1.82%,20,12,70.15%
BNTX220617C00170000,2022-03-21 12:56PM EDT,170.00,25,24.9,28.7,0,-,1,37,72.72%
BNTX220617C00175000,2022-03-21 1:00PM EDT,175.00,23.1,21.4,26.4,0,-,2,20,70.68%
BNTX220617C00180000,2022-03-22 10:59AM EDT,180.00,19.7,18.5,22,-3.3,-14.35%,17,1177,66.03%
BNTX220617C00185000,2022-03-21 9:41AM EDT,185.00,22.65,18.1,23.1,0,-,3,9,72.65%
BNTX220617C00190000,2022-03-21 9:31AM EDT,190.00,20,16.7,20.7,0,-,10,56,72.25%
BNTX220617C00195000,2022-03-17 3:31PM EDT,195.00,14.42,14.1,19,0,-,1,53,70.72%
BNTX220617C00200000,2022-03-22 11:34AM EDT,200.00,13.62,13.9,16.8,-1.38,-9.20%,2,226,71.59%
BNTX220617C00210000,2022-03-18 2:11PM EDT,210.00,12.27,10.1,14.3,0,-,5,192,70.01%
BNTX220617C00220000,2022-03-22 11:09AM EDT,220.00,8.6,8.5,12.4,-0.78,-8.32%,51,45,71.45%
BNTX220617C00230000,2022-03-22 12:08PM EDT,230.00,7.5,5.9,10.6,-0.98,-11.56%,2,465,70.21%
BNTX220617C00240000,2022-03-22 12:00PM EDT,240.00,6.2,5.9,8.7,0.2,+3.33%,16,70,72.35%
BNTX220617C00250000,2022-03-21 3:32PM EDT,250.00,5.34,4.8,6.2,0,-,2,1036,70.22%
BNTX220617C00260000,2022-03-22 2:02PM EDT,260.00,4.26,3.2,5.4,-0.2,-4.48%,18,276,69.37%
BNTX220617C00270000,2022-03-21 11:39AM EDT,270.00,4.04,2.35,4.6,0,-,4,369,69.32%
BNTX220617C00280000,2022-03-21 10:59AM EDT,280.00,3.5,2.15,3.5,0,-,5,308,69.41%
BNTX220617C00290000,2022-03-18 9:37AM EDT,290.00,2.21,1.75,3.2,0,-,2,118,70.70%
BNTX220617C00300000,2022-03-22 3:57PM EDT,300.00,2.1,1.7,2.75,-0.4,-16.00%,19,1121,72.28%
BNTX220617C00310000,2022-03-21 3:30PM EDT,310.00,1.79,0.6,3.1,0,-,2,76,72.51%
BNTX220617C00320000,2022-03-17 10:29AM EDT,320.00,1.59,0.8,2,0,-,1,236,71.39%
BNTX220617C00330000,2022-03-14 3:56PM EDT,330.00,1.15,0.8,1.7,0,-,2,56,72.58%
BNTX220617C00340000,2022-03-22 3:12PM EDT,340.00,1,0.65,1.5,-0.6,-37.50%,1,2992,73.17%
BNTX220617C00350000,2022-03-21 10:49AM EDT,350.00,1.05,0.5,1.35,0,-,2,917,73.71%
BNTX220617C00360000,2022-03-21 3:51PM EDT,360.00,0.79,0.2,1.2,0,-,2,127,72.71%
BNTX220617C00370000,2022-03-16 11:51AM EDT,370.00,0.78,0.15,1.1,0,-,1,291,73.63%
BNTX220617C00380000,2022-03-17 2:06PM EDT,380.00,0.65,0.1,1,0,-,6,2090,74.29%
BNTX220617C00390000,2022-03-01 2:23PM EDT,390.00,0.45,0.1,0.9,0,-,10,180,75.24%
BNTX220617C00400000,2022-03-14 3:31PM EDT,400.00,0.5,0.3,0.85,0,-,3,361,78.71%
BNTX220617C00410000,2022-03-18 10:19AM EDT,410.00,0.63,0.2,0.8,0,-,8,562,79.00%
BNTX220617C00420000,2022-01-25 10:41AM EDT,420.00,1.15,0.1,3.9,0,-,10,108,100.81%
BNTX220617C00430000,2022-01-10 11:56AM EDT,430.00,4.6,0.35,1.6,0,-,12,12,91.02%
BNTX220617C00440000,2022-01-20 10:40AM EDT,440.00,1.3,0.15,0.7,0,-,5,5,82.42%
BNTX220617C00450000,2022-03-10 1:12PM EDT,450.00,0.3,0,0.75,0,-,2,12,82.72%
BNTX220617C00460000,2022-01-21 4:36PM EDT,460.00,0.5,0.1,0.6,0,-,2,7,83.55%
BNTX220617C00470000,2022-03-14 10:25AM EDT,470.00,0.64,0,0.6,0,-,3,83,83.50%
BNTX220617C00480000,2022-03-10 1:12PM EDT,480.00,0.3,0,0.7,0,-,1,41,86.57%
BNTX220617C00490000,2021-12-13 1:11AM EDT,490.00,13.09,0,0,0,-,-,0,50.00%
BNTX220617C00500000,2022-01-10 12:12PM EDT,500.00,2.8,0.2,1.05,0,-,30,304,96.36%
BNTX220617C00520000,2021-12-21 1:44PM EDT,520.00,10.6,0,0.8,0,-,1,4,93.65%
BNTX220617C00540000,2022-02-16 1:08PM EDT,540.00,0.65,0.1,0.5,0,-,4,57,93.02%
