Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,2968.879883,2971.250000,2927.199951,2934.090088,2934.090088,1205200
2021-12-14,2895.399902,2908.840088,2844.850098,2899.409912,2899.409912,1238900
2021-12-15,2887.320068,2950.344971,2854.110107,2947.370117,2947.370117,1364000
2021-12-16,2961.540039,2971.030029,2881.850098,2896.770020,2896.770020,1370000
2021-12-17,2854.290039,2889.201904,2835.760010,2856.060059,2856.060059,2162800
2021-12-20,2813.592041,2852.209961,2805.000000,2848.030029,2848.030029,1013200
2021-12-21,2863.000000,2893.841064,2834.699951,2884.409912,2884.409912,977400
2021-12-22,2882.000000,2946.060059,2879.260010,2938.979980,2938.979980,921900
2021-12-23,2941.790039,2971.451904,2939.017090,2942.850098,2942.850098,690900
2021-12-27,2949.270020,2968.530029,2945.000000,2961.280029,2961.280029,662800
2021-12-28,2967.489990,2967.489990,2918.709961,2928.959961,2928.959961,931200
2021-12-29,2928.590088,2943.675049,2910.090088,2930.090088,2930.090088,851100
2021-12-30,2929.000000,2941.250000,2915.169922,2920.050049,2920.050049,648900
2021-12-31,2910.879883,2927.300049,2893.550049,2893.590088,2893.590088,864900
2022-01-03,2889.510010,2911.000000,2870.050049,2901.489990,2901.489990,1260700
2022-01-04,2911.010010,2932.199951,2876.322998,2888.330078,2888.330078,1146400
2022-01-05,2883.620117,2885.959961,2750.469971,2753.070068,2753.070068,2482100
2022-01-06,2749.949951,2793.719971,2735.270020,2751.020020,2751.020020,1452500
2022-01-07,2758.100098,2765.094971,2715.780029,2740.090088,2740.090088,970100
2022-01-10,2701.979980,2772.800049,2662.810059,2771.479980,2771.479980,1704800
2022-01-11,2763.610107,2806.590088,2736.270020,2800.350098,2800.350098,1175100
2022-01-12,2831.090088,2856.284912,2822.239990,2832.959961,2832.959961,1182100
2022-01-13,2836.810059,2863.709961,2778.280029,2782.620117,2782.620117,1328300
2022-01-14,2750.000000,2824.010010,2750.000000,2795.729980,2795.729980,1190700
2022-01-18,2732.000000,2747.830078,2712.340088,2725.810059,2725.810059,1369100
2022-01-19,2738.770020,2767.989990,2710.000000,2713.040039,2713.040039,1039800
2022-01-20,2730.280029,2758.239990,2662.889893,2670.129883,2670.129883,1096500
2022-01-21,2660.239990,2695.209961,2600.020020,2601.840088,2601.840088,2096000
2022-01-24,2520.550049,2615.570068,2492.839111,2607.439941,2607.439941,2757400
2022-01-25,2568.709961,2586.770020,2527.560059,2534.709961,2534.709961,1800400
2022-01-26,2611.850098,2656.149902,2543.070068,2584.800049,2584.800049,1981500
2022-01-27,2627.219971,2652.198975,2578.899902,2582.419922,2582.419922,1512400
2022-01-28,2600.000000,2667.409912,2573.889893,2665.790039,2665.790039,1525900
2022-01-31,2683.959961,2716.870117,2645.479980,2713.969971,2713.969971,1702800
2022-02-01,2756.699951,2764.000000,2691.364990,2757.570068,2757.570068,2560200
2022-02-02,3037.270020,3042.000000,2911.149902,2960.729980,2960.729980,4487500
2022-02-03,2905.899902,2982.354004,2844.100098,2853.010010,2853.010010,2846500
2022-02-04,2860.340088,2890.705078,2796.350098,2860.320068,2860.320068,2458600
2022-02-07,2874.179932,2876.929932,2773.979980,2778.760010,2778.760010,2230500
2022-02-08,2779.824951,2796.741943,2737.459961,2784.260010,2784.260010,1712800
2022-02-09,2816.995117,2843.510010,2807.540039,2829.060059,2829.060059,1431400
2022-02-10,2790.000000,2828.620117,2761.000000,2772.050049,2772.050049,1650900
2022-02-11,2775.000000,2785.665039,2665.770020,2682.600098,2682.600098,1937700
2022-02-14,2667.310059,2723.330078,2666.040039,2706.000000,2706.000000,1339600
2022-02-15,2749.429932,2758.000000,2710.790039,2728.510010,2728.510010,1328900
2022-02-16,2728.610107,2758.919922,2696.472900,2749.750000,2749.750000,1280500
2022-02-17,2723.000000,2736.790039,2644.040039,2646.169922,2646.169922,1548400
2022-02-18,2660.750000,2676.479980,2606.141113,2609.350098,2609.350098,1592900
2022-02-22,2599.699951,2638.014893,2554.820068,2588.050049,2588.050049,1945300
2022-02-23,2621.570068,2634.979980,2550.070068,2551.699951,2551.699951,1321600
2022-02-24,2500.000000,2660.739990,2495.290039,2653.469971,2653.469971,2158300
2022-02-25,2670.510010,2707.780029,2635.300049,2690.389893,2690.389893,1311800
2022-02-28,2665.689941,2712.810059,2656.504883,2697.820068,2697.820068,1483800
2022-03-01,2689.600098,2722.219971,2667.570068,2683.360107,2683.360107,1232000
2022-03-02,2692.165039,2712.310059,2668.649902,2695.030029,2695.030029,1198300
2022-03-03,2719.570068,2734.275879,2668.620117,2686.159912,2686.159912,989000
2022-03-04,2667.649902,2683.979980,2608.169922,2642.439941,2642.439941,1222300
2022-03-07,2638.080078,2638.080078,2528.199951,2529.290039,2529.290039,1958900
2022-03-08,2525.010010,2624.929932,2517.215088,2545.570068,2545.570068,1762500
2022-03-09,2628.000000,2683.969971,2601.760010,2677.320068,2677.320068,1612900
2022-03-10,2629.250000,2670.770020,2628.020020,2653.639893,2653.639893,1212200
