Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ221021C00115000,2022-03-04 2:39PM EDT,115.00,55.5,60.35,61.6,0,-,3,3,36.48%
JNJ221021C00135000,2022-02-17 10:54AM EDT,135.00,32.3,39.7,43.35,0,-,-,1,32.49%
JNJ221021C00140000,2022-03-10 10:47AM EDT,140.00,31.35,36.4,37.8,0,-,1,1,27.25%
JNJ221021C00145000,2022-03-15 2:34PM EDT,145.00,33.75,32.25,33.1,0,-,-,1,25.20%
JNJ221021C00150000,2022-03-15 11:13AM EDT,150.00,27.55,27,28.8,0,-,8,30,24.18%
JNJ221021C00155000,2022-03-02 4:59PM EDT,155.00,17.45,23.8,24.35,0,-,2,14,22.36%
JNJ221021C00160000,2022-03-08 11:55AM EDT,160.00,18,19.8,20.4,0,-,1,81,21.41%
JNJ221021C00165000,2022-03-14 11:00AM EDT,165.00,15.75,16.2,18.15,0,-,3,58,23.46%
JNJ221021C00170000,2022-03-18 2:27PM EDT,170.00,12.87,12.9,13.35,0,-,2,383,19.66%
JNJ221021C00175000,2022-03-21 10:17AM EDT,175.00,10.68,10,10.3,0.71,+7.12%,1,306,18.77%
JNJ221021C00180000,2022-03-21 11:47AM EDT,180.00,7.45,7.45,7.7,-0.05,-0.67%,7,115,18.02%
JNJ221021C00185000,2022-03-18 12:12PM EDT,185.00,5.37,5.3,5.6,0,-,33,194,17.46%
JNJ221021C00190000,2022-03-21 10:07AM EDT,190.00,4.4,3.8,4.05,0.32,+7.84%,2,2555,17.21%
JNJ221021C00195000,2022-03-21 12:52PM EDT,195.00,2.63,2.54,2.82,-0.19,-6.74%,8,148,16.92%
JNJ221021C00200000,2022-03-18 12:03PM EDT,200.00,1.77,1.75,1.97,0,-,2,80,16.85%
JNJ221021C00210000,2022-03-21 9:38AM EDT,210.00,1,0.79,1.14,-0.28,-21.87%,1,35,17.74%
JNJ221021C00220000,2022-03-16 9:44AM EDT,220.00,0.72,0.36,0.67,0,-,-,1,18.57%
