Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ220422P00125000,2022-03-14 12:11AM EDT,125.00,0.01,0,0.75,0,-,-,10,62.01%
JNJ220422P00140000,2022-03-14 12:11AM EDT,140.00,0.5,0,0.62,0,-,-,2,48.90%
JNJ220422P00145000,2022-03-14 12:11AM EDT,145.00,0.65,0.05,0.66,0,-,-,1,43.34%
JNJ220422P00150000,2022-03-17 9:47AM EDT,150.00,0.43,0.11,0.4,0,-,1,24,33.15%
JNJ220422P00155000,2022-03-18 12:03PM EDT,155.00,0.46,0.24,0.42,0,-,1,17,27.83%
JNJ220422P00160000,2022-03-21 12:46PM EDT,160.00,0.53,0.48,0.66,-0.27,-33.75%,3,454,24.94%
JNJ220422P00165000,2022-03-21 12:47PM EDT,165.00,1.06,0.91,1.12,-0.32,-23.19%,13,140,22.40%
JNJ220422P00170000,2022-03-21 11:53AM EDT,170.00,1.95,1.76,2.08,-0.4,-17.02%,32,89,20.63%
JNJ220422P00175000,2022-03-18 3:25PM EDT,175.00,4.18,3.45,3.75,0,-,3,35,18.96%
JNJ220422P00180000,2022-03-21 11:53AM EDT,180.00,6.38,6,6.65,-0.34,-5.06%,1,2,18.72%
JNJ220422P00185000,2022-03-18 11:36AM EDT,185.00,11.3,9.6,10.6,0,-,1,1,19.65%
