Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ240119P00080000,2022-03-15 9:32AM EDT,80.00,1.25,0.95,2.02,0,-,5,86,39.82%
JNJ240119P00085000,2022-03-07 3:51PM EDT,85.00,1.6,1.2,1.95,0,-,25,77,36.84%
JNJ240119P00090000,2022-03-04 2:54PM EDT,90.00,1.98,1.5,2.52,0,-,1,50,36.61%
JNJ240119P00095000,2022-03-10 2:06PM EDT,95.00,2.29,1.5,2.51,0,-,16,65,34.08%
JNJ240119P00100000,2022-03-21 12:22PM EDT,100.00,1.7,1.46,2.34,-0.52,-23.42%,2,134,31.14%
JNJ240119P00105000,2022-03-17 3:29PM EDT,105.00,2.5,1.91,2.57,0,-,10,61,29.66%
JNJ240119P00110000,2022-03-16 10:29AM EDT,110.00,2.91,1.96,3.1,0,-,2,47,29.00%
JNJ240119P00115000,2022-03-21 10:46AM EDT,115.00,3.3,2.26,3.45,-0.2,-5.71%,2,27,27.72%
JNJ240119P00120000,2022-03-15 10:48AM EDT,120.00,3.71,3.25,4.05,0,-,1,62,26.96%
JNJ240119P00125000,2022-03-14 1:42PM EDT,125.00,5,4,4.75,0,-,13,84,26.25%
JNJ240119P00130000,2022-03-17 1:42PM EDT,130.00,5.3,4.6,5.5,0,-,6,385,25.48%
JNJ240119P00135000,2022-03-18 3:43PM EDT,135.00,6.15,5.4,6.45,0,-,3,270,24.89%
JNJ240119P00140000,2022-03-07 3:39PM EDT,140.00,7.7,6.35,7.55,0,-,1,810,24.37%
JNJ240119P00145000,2022-03-03 3:50PM EDT,145.00,9.36,7.4,8.55,0,-,8,61,23.52%
JNJ240119P00150000,2022-03-21 9:38AM EDT,150.00,9,8.65,9.8,-0.4,-4.26%,2,301,22.86%
JNJ240119P00155000,2022-03-17 1:12PM EDT,155.00,11.7,10.05,11.3,0,-,400,420,22.35%
JNJ240119P00160000,2022-03-21 12:01PM EDT,160.00,12.33,11.6,12.8,-1.22,-9.00%,1,27,21.66%
JNJ240119P00165000,2022-03-18 12:48PM EDT,165.00,15.05,13.35,14.4,0,-,3,26,20.90%
JNJ240119P00170000,2022-01-27 11:49AM EDT,170.00,20.48,18.8,23.25,0,-,2,36,27.88%
JNJ240119P00175000,2022-03-11 3:15PM EDT,175.00,21.15,17.5,20,0,-,4,38,21.41%
JNJ240119P00180000,2022-03-14 3:54PM EDT,180.00,23.5,19.9,21.6,0,-,10,8,20.07%
JNJ240119P00190000,2022-03-17 1:12PM EDT,190.00,26.8,25.4,27.4,0,-,-,404,19.54%
JNJ240119P00200000,2021-11-10 7:58AM EDT,200.00,51,41.5,45.55,0,-,20,21,31.58%
JNJ240119P00210000,2021-12-29 11:55AM EDT,210.00,47,45,49.5,0,-,2,40,28.07%
JNJ240119P00220000,2021-11-24 12:32PM EDT,220.00,64.97,56.05,61,0,-,1,0,32.38%
JNJ240119P00230000,2022-02-22 12:02PM EDT,230.00,69.92,56.35,58.8,0,-,3,3,19.54%
JNJ240119P00240000,2022-01-24 3:27PM EDT,240.00,86.38,78,82.45,0,-,2,2,38.70%
JNJ240119P00250000,2022-03-14 12:11AM EDT,250.00,82.2,74.7,77.75,0,-,-,28,21.28%
