Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ230120C00070000,2022-02-17 4:59PM EDT,70.00,96.35,104,106.05,0,-,207,0,52.83%
JNJ230120C00075000,2022-02-17 4:59PM EDT,75.00,91.26,99.05,101.1,0,-,22,4,49.90%
JNJ230120C00080000,2022-03-15 9:58AM EDT,80.00,93.47,94.9,96.5,0,-,2,11,50.93%
JNJ230120C00085000,2022-02-17 4:59PM EDT,85.00,81.3,89.15,91.2,0,-,8,0,44.41%
JNJ230120C00090000,2022-02-17 4:59PM EDT,90.00,76.37,84.2,86.3,0,-,3,1,42.30%
JNJ230120C00095000,2022-02-17 4:59PM EDT,95.00,71.22,79.25,81.4,0,-,14,3,40.19%
JNJ230120C00100000,2022-03-15 12:40PM EDT,100.00,75.95,75.2,76.55,0,-,2,99,38.44%
JNJ230120C00105000,2022-02-17 4:42PM EDT,105.00,61.7,69.3,71.8,0,-,9,2,37.26%
JNJ230120C00110000,2022-02-18 2:56PM EDT,110.00,54.46,64.4,67,0,-,1,5,35.58%
JNJ230120C00115000,2022-01-21 4:29PM EDT,115.00,50.1,49.2,51.3,0,-,2,87,0.00%
JNJ230120C00120000,2022-03-17 9:30AM EDT,120.00,54.55,55.75,57.1,0,-,50,225,30.58%
JNJ230120C00125000,2022-03-16 1:17PM EDT,125.00,49.6,51.2,52.65,0,-,1,259,30.26%
JNJ230120C00130000,2022-03-15 11:48AM EDT,130.00,46.8,46.45,47.6,0,-,1,420,27.37%
JNJ230120C00135000,2022-03-14 12:05PM EDT,135.00,40.7,42.15,42.9,0,-,1,185,25.76%
JNJ230120C00140000,2022-03-17 3:43PM EDT,140.00,39.04,37.5,38.5,0,-,2,258,24.92%
JNJ230120C00145000,2022-03-17 1:47PM EDT,145.00,35.21,32.75,34,0,-,6,263,23.51%
JNJ230120C00150000,2022-03-18 3:14PM EDT,150.00,28.65,29,29.75,0,-,4,912,22.47%
JNJ230120C00155000,2022-03-18 3:53PM EDT,155.00,25.85,25.15,25.95,0,-,7,1453,22.06%
JNJ230120C00160000,2022-03-17 10:49AM EDT,160.00,22.6,21.15,22.05,0,-,11,3868,21.03%
JNJ230120C00165000,2022-03-21 10:17AM EDT,165.00,19,18,18.35,1.48,+8.45%,5,926,20.00%
JNJ230120C00170000,2022-03-21 12:47PM EDT,170.00,14.7,14.7,15,-0.85,-5.47%,56,4238,19.14%
JNJ230120C00175000,2022-03-21 12:00PM EDT,175.00,11.96,11.9,12.25,-0.24,-1.97%,10,4473,18.78%
JNJ230120C00180000,2022-03-21 12:28PM EDT,180.00,9.67,9.4,9.95,0.06,+0.62%,611,4710,18.63%
JNJ230120C00185000,2022-03-21 10:57AM EDT,185.00,8.3,7.15,8.25,0.94,+12.77%,601,4285,18.92%
JNJ230120C00190000,2022-03-18 3:37PM EDT,190.00,5.7,5.45,6.1,0.15,+2.70%,35,3124,17.99%
JNJ230120C00195000,2022-03-17 11:42AM EDT,195.00,5.4,3.95,4.55,0,-,6,1929,17.53%
JNJ230120C00200000,2022-03-21 9:59AM EDT,200.00,3.5,2.89,3.8,0.28,+8.70%,6,4840,18.11%
JNJ230120C00210000,2022-03-21 10:13AM EDT,210.00,1.68,1.57,2.42,-0.08,-4.55%,12,1349,18.53%
JNJ230120C00220000,2022-03-18 10:36AM EDT,220.00,1.15,0.75,1.29,0,-,4,3047,18.11%
JNJ230120C00230000,2022-03-18 3:20PM EDT,230.00,0.55,0.05,0.76,0,-,42,421,18.34%
JNJ230120C00240000,2022-03-18 10:50AM EDT,240.00,0.31,0.22,0.39,0,-,1,479,18.14%
JNJ230120C00250000,2022-03-21 11:31AM EDT,250.00,0.19,0.13,0.23,-0.06,-24.00%,1,757,18.43%
JNJ230120C00260000,2022-03-18 10:50AM EDT,260.00,0.1,0.01,0.21,0,-,16,561,19.85%
