Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ220422C00150000,2022-03-18 10:26AM EDT,150.00,25.56,25.25,26.15,0,-,1,1,37.31%
JNJ220422C00155000,2022-03-14 12:11AM EDT,155.00,18.22,20.1,21.55,0,-,-,1,35.55%
JNJ220422C00160000,2022-03-18 12:45PM EDT,160.00,15.24,15.7,16.55,0,-,1,4,28.86%
JNJ220422C00165000,2022-03-09 10:47AM EDT,165.00,7.65,11.1,11.75,0,-,6,11,23.49%
JNJ220422C00170000,2022-03-21 12:00PM EDT,170.00,7.36,7.4,7.8,0.31,+4.40%,4,54,21.92%
JNJ220422C00175000,2022-03-21 11:45AM EDT,175.00,4.11,4.15,4.35,0.11,+2.75%,2,528,19.53%
JNJ220422C00180000,2022-03-21 11:53AM EDT,180.00,1.84,1.77,2.06,-0.27,-12.80%,25,1268,18.35%
JNJ220422C00185000,2022-03-21 11:58AM EDT,185.00,0.69,0.6,0.87,-0.11,-13.75%,38,477,18.14%
JNJ220422C00190000,2022-03-21 11:53AM EDT,190.00,0.28,0.17,0.39,0.02,+7.69%,2,12,18.99%
JNJ220422C00195000,2022-03-14 12:11AM EDT,195.00,0.5,0,0.56,0,-,-,1,25.64%
JNJ220422C00205000,2022-03-04 12:21PM EDT,205.00,0.2,0,0.75,0,-,5,5,36.67%
