Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
JNJ220617P00070000,2022-03-17 11:49AM EDT,70.00,0.03,0,0.09,0,-,30,1100,69.92%
JNJ220617P00075000,2022-03-03 3:38PM EDT,75.00,0.01,0,0.19,0,-,15,190,70.51%
JNJ220617P00080000,2022-03-11 12:24PM EDT,80.00,0.05,0,0.11,0,-,3,173,61.52%
JNJ220617P00085000,2022-03-09 4:32PM EDT,85.00,0.05,0,0.11,0,-,15,238,57.03%
JNJ220617P00090000,2022-03-10 2:04PM EDT,90.00,0.07,0,0.12,0,-,1,445,53.32%
JNJ220617P00095000,2021-12-01 12:30PM EDT,95.00,0.5,0,0.71,0,-,1,41,62.65%
JNJ220617P00100000,2022-03-09 4:31PM EDT,100.00,0.15,0,0.3,0,-,2,527,51.03%
JNJ220617P00105000,2022-02-24 12:15PM EDT,105.00,0.45,0,0.59,0,-,19,209,51.90%
JNJ220617P00110000,2022-03-07 1:24PM EDT,110.00,0.28,0,0.57,0,-,4,306,53.49%
JNJ220617P00115000,2022-03-18 10:46AM EDT,115.00,0.2,0.02,0.59,0,-,4,902,49.41%
JNJ220617P00120000,2022-03-14 11:11AM EDT,120.00,0.3,0.04,0.54,0,-,5,829,44.39%
JNJ220617P00125000,2022-03-15 1:56PM EDT,125.00,0.58,0,0.69,0,-,5,633,42.36%
JNJ220617P00130000,2022-03-18 2:59PM EDT,130.00,0.4,0.2,0.71,0,-,5,920,38.48%
JNJ220617P00135000,2022-03-21 11:13AM EDT,135.00,0.51,0.22,0.81,0.01,+2.00%,6,767,35.52%
JNJ220617P00140000,2022-03-21 12:18PM EDT,140.00,0.59,0.56,0.63,-0.11,-15.71%,1,2198,29.75%
JNJ220617P00145000,2022-03-21 9:30AM EDT,145.00,0.8,0.76,0.83,-0.01,-1.23%,4,3070,27.75%
JNJ220617P00150000,2022-03-21 10:51AM EDT,150.00,1.09,1.05,1.13,-0.1,-8.40%,8,3528,25.95%
JNJ220617P00155000,2022-03-21 11:00AM EDT,155.00,1.55,1.47,1.57,-0.13,-7.74%,4,4612,24.28%
JNJ220617P00160000,2022-03-21 10:35AM EDT,160.00,2.05,2.1,2.21,-0.33,-13.87%,23,3352,22.72%
JNJ220617P00165000,2022-03-21 12:30PM EDT,165.00,3.05,3,3.2,-0.3,-8.96%,125,1883,21.49%
JNJ220617P00170000,2022-03-21 10:41AM EDT,170.00,4.35,4.3,4.5,-0.5,-10.31%,15,1652,20.03%
JNJ220617P00175000,2022-03-21 10:41AM EDT,175.00,6.25,6.3,6.45,-0.8,-11.35%,43,573,19.07%
JNJ220617P00180000,2022-03-21 9:39AM EDT,180.00,8.5,8.85,9.1,-1.33,-13.53%,1,313,18.45%
JNJ220617P00185000,2022-03-14 12:49PM EDT,185.00,15.5,12.15,12.55,0,-,11,229,18.49%
JNJ220617P00190000,2022-03-16 10:29AM EDT,190.00,18.75,16.25,16.55,0,-,1,197,18.84%
JNJ220617P00195000,2021-11-10 7:58AM EDT,195.00,39.8,31.6,32.15,0,-,1,275,56.47%
JNJ220617P00200000,2022-03-14 2:44PM EDT,200.00,29.7,25.35,25.85,0,-,1,1881,22.01%
JNJ220617P00210000,2021-11-10 7:58AM EDT,210.00,47.55,44.4,46.75,0,-,1,403,64.65%
JNJ220617P00220000,2021-11-10 7:58AM EDT,220.00,44.95,54.9,56.85,0,-,100,225,72.61%
JNJ220617P00230000,2021-11-10 7:58AM EDT,230.00,56.25,64.25,67.75,0,-,2,62,79.41%
JNJ220617P00240000,2021-11-10 7:58AM EDT,240.00,69,74.85,76.15,0,-,1,27,83.62%
JNJ220617P00250000,2021-11-10 7:58AM EDT,250.00,92.05,85.35,86.2,0,-,-,4,89.99%
JNJ220617P00260000,2021-11-10 7:58AM EDT,260.00,85.6,94.65,97.65,0,-,2,1,96.37%
