Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
RUTW220531C01500000,2022-03-28 11:19AM EDT,"1,500.00",564.49,591.2,594.8,0,-,50,50,39.75%
RUTW220531C01650000,2022-01-24 12:13PM EDT,"1,650.00",347.02,328.2,331.4,0,-,-,1,0.00%
RUTW220531C01700000,2022-01-24 12:13PM EDT,"1,700.00",306.82,287.1,290.2,0,-,-,1,0.00%
RUTW220531C01800000,2022-01-27 11:21AM EDT,"1,800.00",254.42,279.6,283,0,-,-,1,0.00%
RUTW220531C01850000,2022-01-27 11:21AM EDT,"1,850.00",218.05,239.8,243.1,0,-,-,1,13.62%
RUTW220531C01885000,2022-02-10 11:53AM EDT,"1,885.00",250.5,165,181,0,-,8,0,0.00%
RUTW220531C01940000,2022-03-01 12:34PM EDT,"1,940.00",159.9,185.5,188.4,0,-,-,10,28.04%
RUTW220531C01945000,2022-02-24 1:08PM EDT,"1,945.00",115,157.1,189.1,0,-,-,15,29.61%
RUTW220531C01950000,2022-03-01 5:04PM EDT,"1,950.00",154,175.9,178.8,0,-,20,10,27.15%
RUTW220531C01960000,2022-03-24 2:47PM EDT,"1,960.00",152.43,168.7,171.5,0,-,1,11,27.08%
RUTW220531C01965000,2022-03-02 1:42PM EDT,"1,965.00",169.5,163.9,166.7,0,-,-,20,26.62%
RUTW220531C01975000,2022-03-17 12:48PM EDT,"1,975.00",147.67,157.1,159.8,0,-,2,12,26.62%
RUTW220531C01980000,2022-03-29 11:01AM EDT,"1,980.00",177.28,152.7,155.5,0,-,10,14,26.31%
RUTW220531C01985000,2022-03-07 3:06PM EDT,"1,985.00",108.8,149.5,152.2,0,-,10,10,26.33%
RUTW220531C01990000,2022-03-07 4:22PM EDT,"1,990.00",105.32,145.8,148.4,0,-,6,6,26.16%
RUTW220531C02000000,2022-03-18 10:39AM EDT,"2,000.00",137.01,138.4,141,0,-,351,355,25.88%
RUTW220531C02005000,2022-03-18 10:07AM EDT,"2,005.00",139.98,135,137.6,0,-,1,4,25.81%
RUTW220531C02010000,2022-02-18 12:04PM EDT,"2,010.00",118.86,134,149.6,0,-,1,1,30.60%
RUTW220531C02015000,2022-03-01 3:01PM EDT,"2,015.00",113.46,126.8,129.4,0,-,2,3,25.20%
RUTW220531C02020000,2022-03-17 1:26PM EDT,"2,020.00",121,123.5,126,0,-,10,16,25.11%
RUTW220531C02030000,2022-03-25 3:34PM EDT,"2,030.00",105.29,117.9,119.5,0,-,1,0,24.97%
RUTW220531C02035000,2022-02-09 10:32AM EDT,"2,035.00",126.33,103.6,105.7,0,-,1,3,21.63%
RUTW220531C02040000,2022-03-31 10:00AM EDT,"2,040.00",115.37,111.3,112.9,-26.39,-18.62%,2,11,24.74%
RUTW220531C02050000,2022-03-30 11:57AM EDT,"2,050.00",124.6,103.5,105,0,-,1,14,24.08%
RUTW220531C02055000,2022-03-30 11:57AM EDT,"2,055.00",121.16,100.1,101.7,0,-,1,5,23.93%
RUTW220531C02060000,2022-03-29 3:28PM EDT,"2,060.00",125.76,98.4,99.9,0,-,10,27,24.21%
RUTW220531C02065000,2022-01-31 12:55PM EDT,"2,065.00",84.61,104.8,106.4,0,-,-,1,26.92%
RUTW220531C02070000,2022-03-21 1:50PM EDT,"2,070.00",85.75,91.5,93,0,-,2,13,23.75%
RUTW220531C02080000,2022-03-29 11:10AM EDT,"2,080.00",103.44,85.6,87.1,0,-,6,12,23.53%
RUTW220531C02085000,2022-03-01 1:42PM EDT,"2,085.00",77.74,81.6,82.9,0,-,3,6,23.03%
RUTW220531C02090000,2022-03-31 10:08AM EDT,"2,090.00",81.46,78.9,80.2,-24.66,-23.24%,2,12,22.96%
RUTW220531C02095000,2022-03-01 1:42PM EDT,"2,095.00",73.34,76.6,77.8,0,-,3,6,22.96%
RUTW220531C02100000,2022-03-29 3:44PM EDT,"2,100.00",97.97,73,74.4,0,-,14,111,22.66%
RUTW220531C02105000,2022-03-28 11:03AM EDT,"2,105.00",59.15,70.3,71.5,0,-,1,15,22.48%
RUTW220531C02110000,2022-03-29 11:08AM EDT,"2,110.00",84,67.7,68.9,0,-,6,40,22.38%
RUTW220531C02115000,2022-03-18 11:08AM EDT,"2,115.00",68.4,64.9,66,0,-,2,2,22.18%
RUTW220531C02120000,2022-03-30 12:53PM EDT,"2,120.00",77.63,62.8,64,0,-,22,23,22.23%
RUTW220531C02125000,2022-03-29 1:49PM EDT,"2,125.00",73.96,60.2,61.3,0,-,10,2,22.05%
RUTW220531C02130000,2022-03-29 11:10AM EDT,"2,130.00",72.83,58.2,59.2,0,-,6,10,22.04%
RUTW220531C02135000,2022-03-28 2:28PM EDT,"2,135.00",42.56,54.9,56,0,-,1,1,21.68%
RUTW220531C02140000,2022-03-31 10:08AM EDT,"2,140.00",54.73,53.3,54.3,1.13,+2.11%,2,14,21.75%
RUTW220531C02145000,2022-03-30 3:47PM EDT,"2,145.00",51.3,50.2,51.2,0,-,2,3,21.39%
RUTW220531C02150000,2022-03-30 12:53PM EDT,"2,150.00",61.44,48.3,49.3,0,-,1,157,21.38%
RUTW220531C02160000,2022-03-23 3:11PM EDT,"2,160.00",38.15,43.6,44.6,0,-,1,4,21.02%
RUTW220531C02170000,2022-03-30 12:00PM EDT,"2,170.00",53.86,40,41,0,-,21,28,20.93%
RUTW220531C02175000,2022-03-28 3:55PM EDT,"2,175.00",30.98,38.4,39.2,0,-,4,4,20.86%
RUTW220531C02180000,2022-03-29 3:28PM EDT,"2,180.00",53.33,35.8,36.8,0,-,5,32,20.58%
RUTW220531C02185000,2022-03-28 3:17PM EDT,"2,185.00",26.13,34,34.9,0,-,1,5,20.44%
RUTW220531C02190000,2022-03-31 10:07AM EDT,"2,190.00",33.42,32.2,33.1,4.13,+14.10%,2,12,20.32%
RUTW220531C02195000,2022-03-29 1:48PM EDT,"2,195.00",39.8,30.9,31.8,0,-,1,5,20.34%
RUTW220531C02200000,2022-03-29 4:05PM EDT,"2,200.00",42.63,29,29.9,0,-,63,47,20.15%
RUTW220531C02205000,2022-03-29 2:38PM EDT,"2,205.00",40.2,28,28.9,0,-,1,3,20.25%
RUTW220531C02210000,2022-03-30 2:21PM EDT,"2,210.00",30.5,26.2,26.8,0,-,1,21,19.94%
RUTW220531C02215000,2022-03-29 1:56PM EDT,"2,215.00",32.6,24.8,25.6,0,-,6,7,19.94%
RUTW220531C02220000,2022-03-30 2:11PM EDT,"2,220.00",28.92,23.1,24,0,-,1,74,19.77%
RUTW220531C02225000,2022-03-28 3:41PM EDT,"2,225.00",16.48,22.3,23.2,0,-,7,12,19.87%
RUTW220531C02230000,2022-03-29 3:29PM EDT,"2,230.00",33,21,21.9,0,-,6,9,19.78%
