Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
RUTW220331C01350000,2022-01-27 4:25PM EDT,"1,350.00",581.46,676.5,700.5,0,-,-,1,0.00%
RUTW220331C01400000,2022-02-01 10:42AM EDT,"1,400.00",622.11,652.4,658.4,0,-,-,50,0.00%
RUTW220331C01450000,2022-02-01 10:42AM EDT,"1,450.00",573.31,609.6,615.5,0,-,-,50,0.00%
RUTW220331C01500000,2022-01-03 10:57AM EDT,"1,500.00",760.81,518.3,524.1,0,-,50,72,0.00%
RUTW220331C01550000,2022-01-03 10:57AM EDT,"1,550.00",711.83,469.3,475.1,0,-,50,71,0.00%
RUTW220331C01600000,2022-03-21 3:07PM EDT,"1,600.00",454.24,488.3,491.7,0,-,1,10,177.73%
RUTW220331C01650000,2021-11-11 1:02PM EDT,"1,650.00",767.38,569.5,575.9,0,-,-,14,781.87%
RUTW220331C01700000,2022-03-21 3:07PM EDT,"1,700.00",354.63,389.3,392.7,0,-,2,20,186.13%
RUTW220331C01750000,2021-11-11 1:10PM EDT,"1,750.00",673.04,476.7,482.8,0,-,-,16,693.65%
RUTW220331C01800000,2022-03-21 3:07PM EDT,"1,800.00",255.92,288.3,291.7,0,-,1,16,104.69%
RUTW220331C01810000,2022-03-11 12:06PM EDT,"1,810.00",202.92,278.1,281.5,0,-,2,22,0.00%
RUTW220331C01820000,2022-03-24 9:51AM EDT,"1,820.00",233.57,268.3,271.7,0,-,2,28,97.66%
RUTW220331C01830000,2022-03-16 10:47AM EDT,"1,830.00",186.69,259.4,262.8,0,-,4,4,129.20%
RUTW220331C01840000,2022-03-16 10:37AM EDT,"1,840.00",188.3,249.4,252.8,0,-,6,14,124.71%
RUTW220331C01850000,2022-03-16 10:38AM EDT,"1,850.00",177.58,239.4,242.8,0,-,2,2,120.22%
RUTW220331C01860000,2022-03-16 10:49AM EDT,"1,860.00",159.34,228.3,231.7,0,-,8,5,83.79%
RUTW220331C01870000,2022-03-21 11:13AM EDT,"1,870.00",208.28,219.3,222.7,0,-,1,2,109.67%
RUTW220331C01880000,2022-03-16 10:57AM EDT,"1,880.00",141.35,208.5,211.9,0,-,2,2,87.21%
RUTW220331C01890000,2022-02-14 1:01AM EDT,"1,890.00",177.5,0,0,0,-,-,0,0.00%
RUTW220331C01900000,2022-03-16 4:01PM EDT,"1,900.00",145.58,188,191.2,0,-,1,4,0.00%
RUTW220331C01910000,2022-03-14 3:15PM EDT,"1,910.00",79,178,181.2,0,-,-,4,0.00%
RUTW220331C01920000,2022-03-02 11:05AM EDT,"1,920.00",154.05,169.5,172.9,0,-,10,11,90.11%
RUTW220331C01930000,2022-03-07 5:03PM EDT,"1,930.00",86.4,159.3,162.7,0,-,5,8,83.06%
RUTW220331C01940000,2022-03-15 9:46AM EDT,"1,940.00",61,148.1,151.3,0,-,4,10,0.00%
RUTW220331C01950000,2022-03-17 2:48PM EDT,"1,950.00",124.7,139.4,142.9,0,-,3,20,76.42%
RUTW220331C01960000,2022-03-15 1:02PM EDT,"1,960.00",52.8,128.5,131.2,0,-,14,18,0.00%
RUTW220331C01970000,2022-03-30 3:03PM EDT,"1,970.00",123.5,118.5,121.4,0,-,1,30,0.00%
RUTW220331C01980000,2022-03-30 2:45PM EDT,"1,980.00",120.35,108.7,112,0,-,1,30,51.00%
RUTW220331C01990000,2022-03-25 11:49AM EDT,"1,990.00",83.42,98.6,101.5,0,-,2,22,0.00%
RUTW220331C02000000,2022-03-31 11:07AM EDT,"2,000.00",96.9,89.3,92.6,11.6,+13.60%,1,49,50.46%
RUTW220331C02010000,2022-03-28 3:32PM EDT,"2,010.00",61.96,78.3,81.5,0,-,1,22,0.00%
RUTW220331C02020000,2022-03-29 4:05PM EDT,"2,020.00",109.37,68.5,71.5,0,-,56,111,0.00%
RUTW220331C02030000,2022-03-25 2:11PM EDT,"2,030.00",54.48,58.4,61.4,0,-,3,38,0.00%
RUTW220331C02040000,2022-03-25 2:18PM EDT,"2,040.00",47.64,49.6,52.9,0,-,4,44,33.75%
RUTW220331C02050000,2022-03-30 1:25PM EDT,"2,050.00",61.3,39,41.8,0,-,1,72,19.56%
RUTW220331C02060000,2022-03-30 12:39PM EDT,"2,060.00",60.75,29.7,32,0,-,35,145,17.65%
RUTW220331C02070000,2022-03-30 4:03PM EDT,"2,070.00",27.2,20.9,22.9,0,-,33,84,17.82%
RUTW220331C02080000,2022-03-31 11:20AM EDT,"2,080.00",16.66,13.5,14.8,-8.94,-34.92%,12,42,17.54%
RUTW220331C02090000,2022-03-31 11:35AM EDT,"2,090.00",8,8.1,8.7,-5.63,-41.31%,97,29,18.03%
RUTW220331C02100000,2022-03-31 11:32AM EDT,"2,100.00",4,3.5,3.9,-4.59,-53.43%,407,68,16.79%
RUTW220331C02110000,2022-03-31 11:26AM EDT,"2,110.00",2.06,1.5,1.8,-2.84,-57.96%,36,85,17.71%
RUTW220331C02120000,2022-03-31 11:35AM EDT,"2,120.00",0.72,0.65,0.8,-2.04,-73.91%,92,70,18.74%
RUTW220331C02130000,2022-03-31 11:32AM EDT,"2,130.00",0.39,0.25,0.45,-1.08,-73.47%,203,174,20.79%
