Symbol,Bid,Ask,Price,TPrice,Volume,OI,NS,Strike
RUT,1649.8,1659.2,1294.5,0,0,1,S,400
RUT,1551.4,1560.7,1645.7,0,0,7,S,500
RUT,1453.2,1462.5,0,0,0,0,S,600
RUT,1355.3,1364.5,1015.5,0,0,6,S,700
RUT,1306.5,1315.6,1459,0,0,6,S,750
RUT,1257.8,1266.8,587.7,0,0,1,S,800
RUT,1209.2,1218.2,574,0,0,2,S,850
RUT,1160.7,1169.6,812.5,0,0,14,S,900
RUT,1112.4,1121.2,549,0,0,5,S,950
RUT,1064.2,1073,1021.17,0,0,1,S,1000
RUT,1016.2,1024.9,581.04,0,0,1,S,1050
RUT,968.4,977.1,432,0,0,13,S,1100
RUT,920.9,929.5,520.5,0,0,11,S,1150
RUT,873.6,882.1,773,0,0,40,S,1200
RUT,826.7,835.1,972.23,0,0,580,S,1250
RUT,780.1,788.4,922.08,0,0,38,S,1300
RUT,733.9,742.2,952.58,0,0,250,S,1350
RUT,688.2,696.5,884.55,0,0,20,S,1400
RUT,643.1,651.2,760.33,0,0,45,S,1450
RUT,598.6,606.7,551.15,0,0,62,S,1500
RUT,554.8,562.8,727.8,0,0,40,S,1550
RUT,511.8,519.7,683.21,0,0,516,S,1600
RUT,469.8,477.5,396.41,0,0,272,S,1650
RUT,428.8,436.2,407.4,0,0,118,S,1700
RUT,388.9,396.2,330.47,0,0,23,S,1750
RUT,350.3,357.4,253.3,0,0,319,S,1800
RUT,342.7,349.8,0,0,0,0,S,1810
RUT,335.2,342.2,0,0,0,0,S,1820
RUT,327.8,334.8,0,0,0,0,S,1830
RUT,320.4,327.3,0,0,0,0,S,1840
RUT,313,320,285,0,0,123,S,1850
RUT,305.8,312.7,0,0,0,0,S,1860
RUT,298.6,305.5,418.45,0,0,200,S,1870
RUT,291.5,298.3,0,0,0,0,S,1880
RUT,284.4,291.2,0,0,0,0,S,1890
RUT,277.4,284.2,410.4,0,0,436,S,1900
RUT,270.5,277.2,0,0,0,0,S,1910
RUT,263.7,270.3,300.9,0,0,80,S,1920
RUT,256.9,263.5,0,0,0,0,S,1930
RUT,250.2,256.7,0,0,0,0,S,1940
RUT,243.5,250,211.78,0,0,1248,S,1950
RUT,237,243.4,0,0,0,0,S,1960
RUT,230.5,236.9,0,0,0,0,S,1970
RUT,224.1,230.5,0,0,0,0,S,1980
RUT,217.8,224.1,0,0,0,0,S,1990
RUT,211.5,217.8,209.27,0,0,2445,S,2000
RUT,205.4,211.6,0,0,0,0,S,2010
RUT,199.4,205.5,0,0,0,0,S,2020
RUT,193.4,199.5,0,0,0,0,S,2030
RUT,187.5,193.5,195,0,0,1,S,2040
RUT,181.7,187.7,215.32,0,0,622,S,2050
RUT,176,181.9,0,0,0,0,S,2060
RUT,170.4,175.9,200,0,0,102,S,2070
RUT,164.8,170.3,0,0,0,0,S,2080
RUT,159.3,164.9,163.1,0,0,3,S,2090
RUT,154,159.5,180.4,0,0,687,S,2100
RUT,148.7,154.1,179.1,0,0,6,S,2110
RUT,143.5,148.9,164.2,0,0,3,S,2120
RUT,138.5,144,158.7,0,0,33,S,2130
RUT,133.5,139,126.6,0,0,184,S,2140
RUT,128.6,134.1,153.5,0,0,223,S,2150
RUT,123.8,129.3,0,0,0,0,S,2160
RUT,119.3,124.6,0,0,0,0,S,2170
RUT,114.6,120,0,0,0,0,S,2180
RUT,110.2,115.5,92.4,0,0,0,S,2190
RUT,105.9,111.1,129.3,0,0,1941,S,2200
RUT,101.6,106.8,124.6,0,0,21,S,2210
RUT,97.5,102.7,0,0,0,0,S,2220
RUT,93.5,98.6,0,0,0,0,S,2230
RUT,89.6,94.7,0,0,0,0,S,2240
RUT,85.8,90.8,90,0,0,552,S,2250
RUT,82.2,87.1,0,0,0,0,S,2260
RUT,78.6,83.4,0,0,0,0,S,2270
RUT,75.1,79.9,88.4,0,0,114,S,2280
RUT,71.8,76.5,84.1,0,0,39,S,2290
RUT,68.5,73.1,92.6,0,0,1026,S,2300
RUT,65.4,69.9,76.22,0,0,110,S,2310
RUT,62.4,66.9,78.27,0,0,11,S,2320
RUT,59.5,64,69,0,0,105,S,2330
RUT,56.7,61.1,0,0,0,0,S,2340
RUT,54,58.3,62.2,0,0,12,S,2350
RUT,51.4,55.7,51.5,0,0,15,S,2360
RUT,48.9,53.1,62,0,0,80,S,2370
RUT,46.5,50.7,0,0,0,0,S,2380
RUT,44.2,48.3,0,0,0,0,S,2390
RUT,42,46,50,0,100,581,S,2400
RUT,39.9,43.9,0,0,0,0,S,2410
RUT,37.9,41.8,0,0,0,0,S,2420
RUT,36,39.8,0,0,0,0,S,2430
RUT,34.1,37.9,0,0,0,0,S,2440
RUT,32.4,36.1,39.78,0,0,27,S,2450
RUT,30.7,34.4,0,0,0,0,S,2460
RUT,29.1,32.8,0,0,0,0,S,2470
RUT,27.6,31.2,0,0,0,0,S,2480
RUT,26.2,29.7,0,0,0,0,S,2490
RUT,24.8,28.3,18.4,0,0,564,S,2500
RUT,23.5,26.9,0,0,0,0,S,2510
RUT,22.3,25.6,0,0,0,0,S,2520
RUT,21.1,24.4,0,0,0,0,S,2530
RUT,20,23.3,22.1,0,0,2,S,2540
RUT,18.9,22.2,28.32,0,0,187,S,2550
RUT,17.9,21.1,0,0,0,0,S,2560
RUT,17,20.1,0,0,0,0,S,2570
