Symbol,Bid,Ask,Price,TPrice,Volume,OI,NS,Strike
RUT,882,906,779,0,0,1,S,1200
RUT,837,861,791.4,0,0,5,S,1250
RUT,792.5,816.5,824.32,0,0,5,S,1300
RUT,748.5,772.5,714.51,0,0,4,S,1350
RUT,705.5,729.5,736.07,0,0,1,S,1400
RUT,662.5,686.5,674.45,0,0,1,S,1450
RUT,620.5,644.5,618.03,0,0,1,S,1500
RUT,579.5,603.5,0,0,0,0,S,1550
RUT,539,563,0,0,0,0,S,1600
RUT,499.5,523.5,0,0,0,0,S,1650
RUT,461,485,0,0,0,0,S,1700
RUT,423.5,447.5,0,0,0,0,S,1750
RUT,387.5,411.5,557.5,0,0,1,S,1800
RUT,352.5,376.5,0,0,0,0,S,1850
RUT,345.5,369.5,0,0,0,0,S,1860
RUT,339,363,0,0,0,0,S,1870
RUT,332.5,356,0,0,0,0,S,1880
RUT,325.5,349.5,0,0,0,0,S,1890
RUT,319,343,484.35,0,0,1,S,1900
RUT,312.5,336.5,0,0,0,0,S,1910
RUT,306,330,271.12,0,0,6,S,1920
RUT,299.5,323.5,0,0,0,0,S,1930
RUT,293,317,0,0,0,0,S,1940
RUT,287,311,0,0,0,0,S,1950
RUT,280.5,304.5,0,0,0,0,S,1960
RUT,274.5,298.5,0,0,0,0,S,1970
RUT,268.5,292.5,0,0,0,0,S,1980
RUT,262.5,286.5,0,0,0,0,S,1990
RUT,256.5,280.5,236.43,0,0,251,S,2000
RUT,250.5,274.5,211.01,0,0,0,S,2010
RUT,244.5,268.5,0,0,0,0,S,2020
RUT,239,263,0,0,0,0,S,2030
RUT,233,257,0,0,0,0,S,2040
RUT,227.5,251.5,0,0,0,0,S,2050
RUT,222,246,0,0,0,0,S,2060
RUT,216.5,240.5,0,0,0,0,S,2070
RUT,211,235,0,0,0,0,S,2080
RUT,205.5,229.5,0,0,0,0,S,2090
RUT,200.5,224.5,181.11,0,0,600,S,2100
RUT,199,215,0,0,0,0,S,2110
RUT,194,210,0,0,0,0,S,2120
RUT,189,205,0,0,0,0,S,2130
RUT,184,200,0,0,0,0,S,2140
RUT,179,195,0,0,0,0,S,2150
RUT,174,190,286.06,0,0,100,S,2160
RUT,169,185,0,0,0,0,S,2170
RUT,164.5,180.5,0,0,0,0,S,2180
RUT,160,176,0,0,0,0,S,2190
RUT,155,171,392.12,0,0,70,S,2200
RUT,150.5,166.5,0,0,0,0,S,2210
RUT,146.5,162.5,124.55,0,0,41,S,2220
RUT,142,158,0,0,0,0,S,2230
RUT,137.5,153.5,0,0,0,0,S,2240
RUT,133.5,149.5,176.92,0,0,111,S,2250
RUT,129.5,145.5,0,0,0,0,S,2260
RUT,125.5,141.5,0,0,0,0,S,2270
RUT,121.5,137.5,0,0,0,0,S,2280
RUT,117.5,133.5,0,0,0,0,S,2290
RUT,114,130,77,0,0,101,S,2300
RUT,110,126,256.8,0,0,1,S,2310
RUT,106.5,122.5,72.5,0,0,1,S,2320
RUT,103,119,0,0,0,0,S,2330
RUT,100.5,116.5,214,0,0,5,S,2340
RUT,99.5,109.5,0,0,0,0,S,2350
RUT,96,106,63.5,0,0,1,S,2360
RUT,93,103,0,0,0,0,S,2370
RUT,89.5,99.5,0,0,0,0,S,2380
RUT,86.5,96.5,76.1,0,0,1,S,2390
RUT,83.5,93.5,78.65,0,0,136,S,2400
RUT,80.5,90.5,0,0,0,0,S,2410
RUT,78,88,0,0,0,0,S,2420
RUT,75,85,0,0,0,0,S,2430
RUT,72.5,82.5,0,0,0,0,S,2440
RUT,70,80,84.5,0,0,121,S,2450
RUT,67.5,77.5,0,0,0,0,S,2460
RUT,65,75,0,0,0,0,S,2470
RUT,62.5,72.5,0,0,0,0,S,2480
RUT,60,70,0,0,0,0,S,2490
RUT,58,68,54.52,0,0,112,S,2500
RUT,55.5,65.5,42.06,0,0,2,S,2510
RUT,53.5,63.5,68,0,0,2,S,2520
RUT,51.5,61.5,0,0,0,0,S,2530
RUT,49.5,59.5,0,0,0,0,S,2540
RUT,47.5,57.5,38.25,0,0,125,S,2550
RUT,45.5,55.5,0,0,0,0,S,2560
RUT,44,54,35.42,0,0,1,S,2570
RUT,42,52,100,0,0,2,S,2580
RUT,40.5,50.5,96,0,0,1,S,2590
RUT,39,49,30.28,0,0,4,S,2600
RUT,37,47,29.26,0,0,2,S,2610
RUT,35.5,45.5,100,0,0,2,S,2620
RUT,34,44,96.5,0,0,3,S,2630
RUT,32.5,42.5,100,0,0,2,S,2640
RUT,31.5,41.5,98.38,0,0,3,S,2650
RUT,30,40,0,0,0,0,S,2660
RUT,28.5,38.5,0,0,0,0,S,2670
RUT,27.5,37.5,89.5,0,0,1,S,2680
RUT,26,36,86.5,0,0,1,S,2690
RUT,25,35,20.64,0,0,5,S,2700
RUT,24,34,0,0,0,0,S,2710
RUT,23,33,0,0,0,0,S,2720
RUT,22,32,0,0,0,0,S,2730
RUT,21,31,74.5,0,0,1,S,2740
RUT,20,30,0,0,0,0,S,2750
RUT,19,29,0,0,0,0,S,2760
RUT,18,28,17.61,0,0,4,S,2770
RUT,17,27,16.91,0,0,3,S,2780
RUT,15.5,25.5,63.56,0,0,185,S,2800
RUT,12,22,49.5,0,0,1,S,2850
RUT,9,19,26,0,0,85,S,2900
RUT,6.5,16.5,0,0,0,0,S,2950
RUT,5,15,0,0,0,0,S,3000
RUT,3.4,13,0,0,0,0,S,3050
RUT,2.4,12,0,0,0,0,S,3100
RUT,1.4,11,0,0,0,0,S,3150
RUT,0.4,10,0,0,0,0,S,3200
RUT,0.2,9.8,0,0,0,0,S,3250
RUT,0,9.6,0,0,0,0,S,3300
RUT,0,9.6,0,0,0,0,S,3350
RUT,0,9.6,0,0,0,0,S,3400
RUT,0,9.6,0,0,0,0,S,3450
