Symbol,Bid,Ask,Price,TPrice,Volume,OI,NS,Strike
RUT,1015.2,1018.7,933.55,0,0,1,W,1050
RUT,965.3,968.7,0,0,0,0,W,1100
RUT,915.3,918.8,0,0,0,0,W,1150
RUT,865.3,868.7,0,0,0,0,W,1200
RUT,815.4,818.8,0,0,0,0,W,1250
RUT,765.4,768.9,669.46,0,0,1,W,1300
RUT,715.4,718.8,0,0,0,0,W,1350
RUT,665.5,669,607.56,0,0,1,W,1400
RUT,615.6,619,572.82,0,0,1,W,1450
RUT,565.7,569,509.74,0,0,2,W,1500
RUT,515.8,519.2,475.28,0,0,3,W,1550
RUT,465.9,469.2,408.54,0,0,4,W,1600
RUT,416,419.4,333.46,0,0,6,W,1650
RUT,366.2,369.5,333.13,0,0,2,W,1700
RUT,316.6,319.8,0,0,0,0,W,1750
RUT,301.7,304.9,0,0,0,0,W,1765
RUT,296.7,299.9,293.15,0,0,1,W,1770
RUT,291.8,295,0,0,0,0,W,1775
RUT,286.8,290,0,0,0,0,W,1780
RUT,281.9,285.1,0,0,0,0,W,1785
RUT,276.9,280.1,304.11,0,0,1,W,1790
RUT,272,275.2,0,0,0,0,W,1795
RUT,267,270.2,296.75,0,0,1,W,1800
RUT,262.1,265.3,0,0,0,0,W,1805
RUT,257.2,260.3,0,0,0,0,W,1810
RUT,252.2,255.4,282.35,0,0,2,W,1815
RUT,247.3,250.5,244.67,0,0,1,W,1820
RUT,242.4,245.6,0,0,0,0,W,1825
RUT,237.5,240.7,278.1,0,0,1,W,1830
RUT,232.6,235.7,0,0,0,0,W,1835
RUT,227.7,230.8,140.92,0,0,9,W,1840
RUT,222.8,225.9,0,0,0,0,W,1845
RUT,218,221.1,208.23,0,0,3,W,1850
RUT,213.1,216.2,138.8,0,0,5,W,1855
RUT,208.2,211.3,0,0,0,0,W,1860
RUT,203.4,206.5,0,0,0,0,W,1865
RUT,198.5,201.6,192.25,0,0,0,W,1870
RUT,193.7,196.8,152.38,0,0,21,W,1875
RUT,188.9,192,119.26,0,0,2,W,1880
RUT,184.1,187.1,143.96,0,0,2,W,1885
RUT,179.3,182.4,184.81,0,0,1,W,1890
RUT,174.6,177.6,0,0,0,0,W,1895
RUT,169.8,172.8,211.88,0,0,151,W,1900
RUT,165.1,168.1,135.19,0,0,96,W,1905
RUT,160.4,163.4,194.97,0,0,4,W,1910
RUT,155.7,158.7,92.43,0,0,20,W,1915
RUT,151.1,154,169.18,0,0,34,W,1920
RUT,146.5,149.3,158.23,0,0,5,W,1925
RUT,141.9,144.7,183.05,0,0,29,W,1930
RUT,137.4,140.1,134.9,0,0,3,W,1935
RUT,132.9,135.6,173.33,0,0,51,W,1940
RUT,128.4,131.1,128.1,0,0,38,W,1945
RUT,123.9,126.6,183.95,0,0,1039,W,1950
RUT,119.5,122.2,119.9,0,0,8,W,1955
RUT,115.2,117.8,121.39,0,0,32,W,1960
RUT,110.8,113.5,112.08,0,0,23,W,1965
RUT,106.6,109.2,126.77,0,50,87,W,1970
RUT,102.4,105,113.81,0,0,15,W,1975
RUT,98.2,100.8,118.68,0,0,509,W,1980
RUT,94.1,96.7,53.5,0,0,3,W,1985
RUT,90.1,92.6,147.22,0,0,53,W,1990
RUT,86.1,88.5,51.3,0,0,32,W,1995
RUT,82.2,84.6,85,0,133,344,W,2000
RUT,78.3,80.6,133.27,0,0,25,W,2005
RUT,74.5,76.8,91.29,0,20,83,W,2010
RUT,70.8,73,83.87,0,1,532,W,2015
RUT,67.2,69.3,84.43,0,1,70,W,2020
RUT,63.7,65.7,72.93,0,0,47,W,2025
RUT,60.3,62,78.1,0,1,180,W,2030
RUT,56.9,58.6,65.12,0,2,101,W,2035
RUT,53.7,55.2,58.74,0,3,109,W,2040
RUT,50.5,51.9,53.8,0,2,32,W,2045
RUT,47.4,48.7,48.1,0,6,2217,W,2050
RUT,44.4,45.5,49.2,0,3,656,W,2055
RUT,41.5,42.5,43.72,0,20,173,W,2060
RUT,38.7,39.5,51.1,0,15,277,W,2065
RUT,36,36.7,37,0,56,6197,W,2070
RUT,33.3,34,45.3,0,4,54,W,2075
RUT,30.8,31.5,33.81,0,8,235,W,2080
RUT,28.4,29,42,0,3,59,W,2085
RUT,26.1,26.7,29.45,0,12,84,W,2090
RUT,23.9,24.5,27.2,0,46,57,W,2095
RUT,21.9,22.4,24.21,0,295,1318,W,2100
RUT,20,20.5,36.4,0,7,864,W,2105
RUT,18.1,18.7,18.34,0,27,360,W,2110
RUT,16.5,17,19.21,0,17,87,W,2115
RUT,14.9,15.4,15.1,0,329,212,W,2120
RUT,13.4,13.9,27,0,3,76,W,2125
RUT,12.1,12.6,12.85,0,10,462,W,2130
RUT,10.8,11.4,18.7,0,3,72,W,2135
RUT,9.7,10.2,12.3,0,8,97,W,2140
RUT,8.7,9.2,15.5,0,15,73,W,2145
RUT,7.8,8.3,8.5,0,87,699,W,2150
RUT,7,7.4,10.7,0,18,198,W,2155
RUT,6.3,6.7,6.81,0,204,750,W,2160
RUT,5.6,6,6.8,0,63,83,W,2165
RUT,5,5.4,5.61,0,18,236,W,2170
RUT,4.5,4.9,7.01,0,2,254,W,2175
RUT,4,4.4,4.51,0,20,165,W,2180
RUT,3.6,3.9,4,0,402,1180,W,2185
RUT,3.2,3.6,3.89,0,13,279,W,2190
RUT,2.85,3.2,4.1,0,8,84,W,2195
RUT,2.55,2.9,2.93,0,12,481,W,2200
RUT,2.3,2.6,3.74,0,11,291,W,2205
RUT,2.1,2.4,2.72,0,3,133,W,2210
RUT,1.9,2.15,2.47,0,3,166,W,2215
RUT,1.7,2,2.74,0,12,176,W,2220
RUT,1.55,1.85,2.63,0,4,122,W,2225
RUT,1.4,1.7,2.28,0,3,182,W,2230
RUT,1.3,1.55,2.05,0,1,335,W,2235
RUT,1.2,1.45,1.56,0,4,430,W,2240
RUT,1.1,1.35,1.2,0,3,180,W,2245
RUT,1,1.25,1.24,0,4,396,W,2250
RUT,0.9,1.2,1,0,9,214,W,2255
RUT,0.85,1.1,1.05,0,14,674,W,2260
RUT,0.8,1.05,1.39,0,25,194,W,2265
RUT,0.7,1,1.22,0,0,422,W,2270
RUT,0.65,0.9,2.07,0,0,573,W,2275
RUT,0.6,0.85,1.12,0,25,958,W,2280
RUT,0.55,0.8,1.55,0,0,378,W,2285
RUT,0.5,0.75,0.91,0,0,337,W,2290
RUT,0.45,0.7,1.16,0,0,92,W,2295
RUT,0.4,0.7,0.65,0,3,271,W,2300
RUT,0.35,0.65,1.42,0,0,33,W,2305
RUT,0.35,0.6,0.46,0,0,118,W,2310
RUT,0.3,0.55,0.52,0,0,2,W,2315
RUT,0.25,0.55,0.69,0,0,247,W,2320
RUT,0.25,0.5,0.44,0,0,11,W,2325
RUT,0.2,0.5,0.6,0,0,5,W,2330
RUT,0.2,0.45,0.7,0,0,20,W,2335
RUT,0.15,0.45,1.51,0,0,35,W,2340
RUT,0.15,0.4,0.31,0,0,25,W,2345
RUT,0.1,0.4,0.34,0,47,321,W,2350
RUT,0.1,0.4,0.51,0,0,32,W,2355
RUT,0.1,0.35,0.23,0,0,189,W,2360
RUT,0.05,0.35,1.08,0,0,16,W,2365
RUT,0.05,0.35,0.3,0,0,55,W,2370
RUT,0.05,0.3,0.87,0,0,4,W,2375
RUT,0.05,0.3,0.27,0,0,7,W,2380
RUT,0.05,0.3,0.28,0,0,12,W,2385
RUT,0,0.25,0.18,0,1,43,W,2400
RUT,0,0.1,0.06,0,11,27,W,2450
RUT,0,0.2,0.25,0,0,9,W,2500
RUT,0,0.15,0.7,0,0,1,W,2550
RUT,0,0.15,0.4,0,0,1,W,2600
RUT,0,0.15,0,0,0,0,W,2650
RUT,0,0.15,0,0,0,0,W,2700
RUT,0,0.1,0.32,0,0,4,W,2750
RUT,0,0.1,0,0,0,0,W,2800
RUT,0,0.1,0,0,0,0,W,2850
RUT,0,0.1,0.1,0,0,20,W,2900
RUT,0,0.1,0,0,0,0,W,2950
RUT,0,0.1,0,0,0,0,W,3000
RUT,0,0.1,0,0,0,0,W,3050
RUT,0,0.1,0,0,0,0,W,3100
