Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
RUTW220429P01200000,2022-03-28 2:46PM EDT,"1,200.00",0.3,0.15,0.35,0,-,2,58,69.63%
RUTW220429P01250000,2022-03-23 3:34PM EDT,"1,250.00",0.86,0.25,0.45,0,-,1,15,67.09%
RUTW220429P01300000,2022-01-25 10:53AM EDT,"1,300.00",10.13,5.9,6.8,0,-,20,260,92.74%
RUTW220429P01350000,2022-03-31 11:01AM EDT,"1,350.00",0.5,0.45,0.6,-0.15,-23.08%,10,89,60.40%
RUTW220429P01400000,2022-03-29 11:02AM EDT,"1,400.00",0.8,0.55,0.8,0,-,85,183,57.47%
RUTW220429P01450000,2022-03-18 10:26AM EDT,"1,450.00",2.81,0.7,0.95,0,-,4,43,54.24%
RUTW220429P01500000,2022-03-22 3:31PM EDT,"1,500.00",2.5,0.9,1.15,0,-,52,217,51.12%
RUTW220429P01550000,2022-03-31 11:17AM EDT,"1,550.00",1.3,1.15,1.3,-0.02,-1.52%,4,430,48.17%
RUTW220429P01600000,2022-03-29 11:24AM EDT,"1,600.00",1.7,1.45,1.75,0,-,2,38,45.62%
RUTW220429P01650000,2022-03-29 10:46AM EDT,"1,650.00",2.1,1.9,2.25,0,-,2,229,42.73%
RUTW220429P01700000,2022-03-30 11:47AM EDT,"1,700.00",3.86,2.6,2.9,0,-,7,129,39.83%
RUTW220429P01750000,2022-03-30 3:39PM EDT,"1,750.00",4.91,3.5,3.9,0,-,16,54,37.16%
RUTW220429P01800000,2022-03-31 11:13AM EDT,"1,800.00",5.3,5.2,5.5,-0.62,-10.47%,8,646,34.79%
RUTW220429P01850000,2022-03-31 10:22AM EDT,"1,850.00",8.4,7.5,7.8,-0.3,-3.45%,6,209,32.40%
RUTW220429P01860000,2022-03-31 9:57AM EDT,"1,860.00",8.9,7.9,8.4,1.03,+13.09%,5,177,31.95%
RUTW220429P01870000,2022-03-30 11:10AM EDT,"1,870.00",7.87,8.7,9.1,0,-,10,119,31.55%
RUTW220429P01880000,2022-03-31 11:13AM EDT,"1,880.00",9.8,9.7,10.1,1.58,+19.22%,5,56,31.36%
RUTW220429P01890000,2022-03-31 10:02AM EDT,"1,890.00",12.05,10.4,10.9,3.19,+36.00%,2,151,30.93%
RUTW220429P01900000,2022-03-31 10:26AM EDT,"1,900.00",13.02,11.1,11.5,2.81,+27.52%,10,212,30.28%
RUTW220429P01910000,2022-03-30 1:35PM EDT,"1,910.00",11.3,12.5,12.9,0,-,80,138,30.21%
RUTW220429P01920000,2022-03-31 10:26AM EDT,"1,920.00",15.17,13.5,13.9,5.53,+57.37%,10,141,29.76%
RUTW220429P01930000,2022-03-30 10:12AM EDT,"1,930.00",11.76,14.3,14.7,0,-,1,180,29.11%
RUTW220429P01940000,2022-03-31 10:00AM EDT,"1,940.00",17.66,15.5,16,-0.13,-0.73%,2,113,28.76%
RUTW220429P01950000,2022-03-31 10:53AM EDT,"1,950.00",17.2,16.9,17.4,2.02,+13.31%,2,122,28.39%
RUTW220429P01960000,2022-03-31 11:41AM EDT,"1,960.00",18.38,18.2,18.6,2.58,+16.33%,1,141,27.84%
RUTW220429P01970000,2022-03-31 11:41AM EDT,"1,970.00",19.91,19.7,20.2,-1.5,-7.01%,1,239,27.46%
RUTW220429P01980000,2022-03-30 3:49PM EDT,"1,980.00",23.18,21.5,21.9,0,-,25,273,27.06%
RUTW220429P01990000,2022-03-31 10:06AM EDT,"1,990.00",25.98,24.1,24.6,-0.47,-1.78%,3,305,27.11%
RUTW220429P02000000,2022-03-31 11:02AM EDT,"2,000.00",25.58,25.2,25.8,-3.05,-10.65%,11,339,26.29%
RUTW220429P02010000,2022-03-31 9:32AM EDT,"2,010.00",28.84,27.6,28.2,5.55,+23.83%,1,281,26.01%
RUTW220429P02020000,2022-03-31 9:34AM EDT,"2,020.00",30,29.7,30.3,1.91,+6.80%,1,128,25.50%
RUTW220429P02030000,2022-03-30 2:41PM EDT,"2,030.00",30.52,32.2,32.8,0,-,6,205,25.09%
RUTW220429P02040000,2022-03-31 9:51AM EDT,"2,040.00",33.95,35.1,35.9,-5.48,-13.90%,10,410,24.86%
RUTW220429P02050000,2022-03-31 10:34AM EDT,"2,050.00",41,38,38.5,3.55,+9.48%,5,254,24.30%
RUTW220429P02060000,2022-03-31 11:02AM EDT,"2,060.00",41,41.3,42.2,-4.75,-10.38%,13,302,24.14%
RUTW220429P02070000,2022-03-31 9:53AM EDT,"2,070.00",42.88,45.7,46.3,-6.57,-13.29%,10,235,24.03%
RUTW220429P02080000,2022-03-30 3:16PM EDT,"2,080.00",50.95,48.7,49.4,0,-,121,206,23.38%
RUTW220429P02090000,2022-03-31 10:21AM EDT,"2,090.00",54.5,53.4,54.1,6.67,+13.95%,2,93,23.30%
RUTW220429P02100000,2022-03-31 11:02AM EDT,"2,100.00",55.92,56.8,57.5,-3.43,-5.78%,1,178,22.55%
RUTW220429P02110000,2022-03-30 1:44PM EDT,"2,110.00",56.6,63,63.9,0,-,24,141,22.94%
RUTW220429P02120000,2022-03-31 9:55AM EDT,"2,120.00",66.54,65.9,67.1,-3.36,-4.81%,10,210,21.86%
RUTW220429P02130000,2022-03-30 3:53PM EDT,"2,130.00",78.17,71.2,72.8,0,-,48,177,21.70%
RUTW220429P02140000,2022-03-29 3:32PM EDT,"2,140.00",55.06,76.7,78.2,0,-,13,28,21.28%
RUTW220429P02150000,2022-03-30 2:47PM EDT,"2,150.00",81.31,82.6,84.3,0,-,4,86,21.02%
RUTW220429P02160000,2022-03-29 3:33PM EDT,"2,160.00",64.19,90.6,92.5,0,-,40,51,21.61%
RUTW220429P02170000,2022-03-30 2:56PM EDT,"2,170.00",94.78,97.8,99.8,0,-,2,84,21.67%
RUTW220429P02180000,2022-03-30 3:54PM EDT,"2,180.00",111.28,105.1,106.9,0,-,13,28,21.51%
RUTW220429P02190000,2022-01-03 10:30AM EDT,"2,190.00",85.35,0,0,0,-,-,1,0.00%
RUTW220429P02200000,2022-03-30 3:54PM EDT,"2,200.00",126.8,118.5,120.5,0,-,2,66,20.40%
RUTW220429P02210000,2022-03-29 10:04AM EDT,"2,210.00",115.07,128.5,130.9,0,-,5,16,21.73%
RUTW220429P02220000,2022-03-29 3:31PM EDT,"2,220.00",102.28,137.3,139.6,0,-,2,23,22.01%
RUTW220429P02230000,2022-03-30 3:53PM EDT,"2,230.00",152.25,143.1,145.4,0,-,5,7,20.18%
RUTW220429P02240000,2022-03-29 3:31PM EDT,"2,240.00",117.46,154.8,157.4,0,-,2,13,22.59%
RUTW220429P02250000,2022-03-25 12:44PM EDT,"2,250.00",188.52,163,165.4,0,-,1,302,22.08%
RUTW220429P02260000,2022-03-18 12:34PM EDT,"2,260.00",199.23,169.8,172.3,0,-,1,3,20.33%
RUTW220429P02270000,2022-01-26 4:10PM EDT,"2,270.00",309.33,242.7,247.4,0,-,1,1,55.88%
RUTW220429P02280000,2022-02-03 2:38PM EDT,"2,280.00",289.8,279.5,303.5,0,-,1,4,73.44%
RUTW220429P02290000,2022-03-17 9:42AM EDT,"2,290.00",267.13,198.2,200.7,0,-,4,8,21.07%
RUTW220429P02300000,2022-03-14 10:16AM EDT,"2,300.00",322.81,208.6,211.5,0,-,1,2,22.78%
RUTW220429P02310000,2022-01-13 1:54PM EDT,"2,310.00",186.26,291.9,295.2,0,-,2,2,64.78%
RUTW220429P02320000,2022-01-10 10:36AM EDT,"2,320.00",214.13,262.2,265.5,0,-,2,1,47.41%
RUTW220429P02330000,2022-01-05 1:50PM EDT,"2,330.00",150.6,340.8,345.8,0,-,2,2,80.67%
RUTW220429P02340000,2022-03-14 10:16AM EDT,"2,340.00",362.17,246.9,249.8,0,-,1,3,23.56%
RUTW220429P02360000,2021-11-22 10:58AM EDT,"2,360.00",143.6,217.6,222.6,0,-,-,2,0.00%
RUTW220429P02390000,2021-11-08 10:35AM EDT,"2,390.00",124.8,232.8,237.8,0,-,-,2,0.00%
RUTW220429P02400000,2021-11-08 1:24PM EDT,"2,400.00",130.9,239.7,244.8,0,-,-,4,0.00%
RUTW220429P02420000,2021-11-08 1:53PM EDT,"2,420.00",141.7,253.9,259.2,0,-,-,3,0.00%
RUTW220429P02450000,2022-02-24 10:42AM EDT,"2,450.00",544.49,362.4,386.4,0,-,-,1,54.92%
RUTW220429P02550000,2022-02-24 10:42AM EDT,"2,550.00",643.95,462.1,486.1,0,-,-,1,54.21%
RUTW220429P03400000,2022-02-14 2:46PM EDT,"3,400.00",1374.14,1380.6,1386.1,0,-,-,1,152.07%
