Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
RUTW220831P01150000,2022-03-23 3:43PM EDT,"1,150.00",7,5,5.7,0,-,-,2,49.00%
RUTW220831P01600000,2022-03-25 3:53PM EDT,"1,600.00",27.36,20.5,30.5,0,-,1,3,37.53%
RUTW220831P01650000,2022-03-25 3:53PM EDT,"1,650.00",32.44,29.8,30.6,0,-,2,6,34.40%
RUTW220831P01690000,2022-03-22 10:04AM EDT,"1,690.00",38.56,34.1,35.3,0,-,1,4,33.51%
RUTW220831P01700000,2022-03-25 3:53PM EDT,"1,700.00",38.57,35.4,36.3,0,-,1,5,33.20%
RUTW220831P01780000,2022-03-22 9:30AM EDT,"1,780.00",55.26,46.7,47.5,0,-,2,2,31.29%
RUTW220831P01800000,2022-03-25 10:54AM EDT,"1,800.00",53.64,50,50.9,0,-,1,2,30.85%
RUTW220831P01820000,2022-03-30 3:59PM EDT,"1,820.00",54.5,53.4,54.3,0,-,1,2,30.35%
RUTW220831P01850000,2022-03-25 10:54AM EDT,"1,850.00",63.39,59.2,60.2,0,-,1,1,29.71%
RUTW220831P01930000,2022-03-17 1:55PM EDT,"1,930.00",100.35,77.5,78.6,0,-,-,45,27.95%
RUTW220831P01940000,2022-03-17 1:55PM EDT,"1,940.00",103.36,80,81.2,0,-,-,45,27.72%
RUTW220831P01990000,2022-03-30 10:30AM EDT,"1,990.00",84,90.5,95.6,0,-,1,2,26.63%
RUTW220831P02020000,2022-03-30 1:37PM EDT,"2,020.00",100.94,104.2,105.4,0,-,1,0,25.99%
RUTW220831P02040000,2022-03-29 11:10AM EDT,"2,040.00",100.09,111.2,112.5,0,-,1,2,25.58%
RUTW220831P02070000,2022-03-29 11:10AM EDT,"2,070.00",110.39,122.4,123.9,0,-,1,2,24.96%
