Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
RUTW220331P01100000,2022-03-21 10:45AM EDT,"1,100.00",0.05,0,0.05,0,-,1,60,360.94%
RUTW220331P01150000,2022-02-08 12:42PM EDT,"1,150.00",0.85,0.25,0.4,0,-,4,23,418.75%
RUTW220331P01200000,2022-01-28 11:11AM EDT,"1,200.00",3.69,0,2.15,0,-,2,2,446.68%
RUTW220331P01250000,2022-01-25 11:50AM EDT,"1,250.00",4.8,1.65,2,0,-,2,224,446.58%
RUTW220331P01300000,2022-03-23 10:57AM EDT,"1,300.00",0.05,0,0.05,0,-,1,11,271.88%
RUTW220331P01350000,2022-03-22 3:59PM EDT,"1,350.00",0.05,0,0.05,0,-,1,320,251.56%
RUTW220331P01400000,2022-03-23 1:21PM EDT,"1,400.00",0.05,0,0.05,0,-,1,134,231.25%
RUTW220331P01450000,2022-03-30 9:36AM EDT,"1,450.00",0.05,0,0.05,0,-,1,51,212.50%
RUTW220331P01500000,2022-03-22 10:07AM EDT,"1,500.00",0.13,0,0.05,0,-,1,44,193.75%
RUTW220331P01550000,2022-03-29 12:30PM EDT,"1,550.00",0.05,0,0.05,0,-,50,197,175.78%
RUTW220331P01600000,2022-03-25 1:30PM EDT,"1,600.00",0.08,0,0.05,0,-,1,214,158.59%
RUTW220331P01650000,2022-03-29 1:00PM EDT,"1,650.00",0.05,0,0.05,0,-,5,106,141.41%
RUTW220331P01700000,2022-03-30 10:17AM EDT,"1,700.00",0.05,0,0.05,0,-,4,209,125.00%
RUTW220331P01750000,2022-03-25 1:44PM EDT,"1,750.00",0.3,0,0.05,0,-,1,352,108.59%
RUTW220331P01800000,2022-03-28 10:46AM EDT,"1,800.00",0.26,0,0.05,0,-,1,135,92.58%
RUTW220331P01810000,2022-03-29 9:47AM EDT,"1,810.00",0.13,0,0.05,0,-,3,100,89.06%
RUTW220331P01820000,2022-03-25 10:13AM EDT,"1,820.00",0.5,0,0.05,0,-,3,47,85.94%
RUTW220331P01830000,2022-03-22 10:09AM EDT,"1,830.00",1.54,0,0.05,0,-,1,91,82.81%
RUTW220331P01840000,2022-03-29 9:47AM EDT,"1,840.00",0.18,0,0.05,0,-,3,80,79.69%
RUTW220331P01850000,2022-03-28 1:16PM EDT,"1,850.00",0.42,0,0.05,0,-,22,101,76.56%
RUTW220331P01860000,2022-03-31 9:41AM EDT,"1,860.00",0.05,0,0.05,0,-,18,61,73.83%
RUTW220331P01870000,2022-03-30 3:59PM EDT,"1,870.00",0.08,0,0.05,0,-,4,55,70.70%
RUTW220331P01880000,2022-03-30 3:37PM EDT,"1,880.00",0.08,0,0.1,0,-,2,81,71.88%
RUTW220331P01890000,2022-03-31 10:01AM EDT,"1,890.00",0.08,0,0.1,-0.01,-11.11%,5,117,68.56%
RUTW220331P01900000,2022-03-30 9:44AM EDT,"1,900.00",0.16,0,0.1,0,-,1,562,65.23%
RUTW220331P01910000,2022-03-30 3:09PM EDT,"1,910.00",0.1,0,0.1,0,-,6,56,62.11%
RUTW220331P01920000,2022-03-31 10:05AM EDT,"1,920.00",0.05,0,0.05,-0.05,-50.00%,28,179,55.08%
RUTW220331P01930000,2022-03-31 10:01AM EDT,"1,930.00",0.08,0,0.1,-0.06,-42.86%,27,208,55.47%
RUTW220331P01940000,2022-03-31 9:32AM EDT,"1,940.00",0.08,0,0.1,-0.09,-52.94%,20,108,52.34%
RUTW220331P01950000,2022-03-31 9:44AM EDT,"1,950.00",0.05,0,0.05,-0.13,-72.22%,21,216,49.02%
RUTW220331P01960000,2022-03-31 10:20AM EDT,"1,960.00",0.05,0,0.1,-0.12,-70.59%,23,154,49.41%
RUTW220331P01970000,2022-03-31 10:27AM EDT,"1,970.00",0.05,0,0.1,-0.17,-77.27%,46,138,45.90%
RUTW220331P01980000,2022-03-31 10:01AM EDT,"1,980.00",0.16,0,0.1,-0.09,-36.00%,20,169,42.48%
RUTW220331P01990000,2022-03-30 12:53PM EDT,"1,990.00",0.32,0,0.1,0,-,2,148,38.97%
RUTW220331P02000000,2022-03-31 11:07AM EDT,"2,000.00",0.05,0,0.1,-0.45,-90.00%,18,401,35.45%
RUTW220331P02010000,2022-03-31 10:04AM EDT,"2,010.00",0.26,0.05,0.15,-0.19,-42.22%,10,566,33.69%
RUTW220331P02020000,2022-03-31 10:44AM EDT,"2,020.00",0.17,0.05,0.2,-0.64,-79.01%,49,2184,31.25%
RUTW220331P02030000,2022-03-31 10:01AM EDT,"2,030.00",0.43,0.1,0.25,-0.96,-69.06%,43,235,28.37%
RUTW220331P02040000,2022-03-31 11:03AM EDT,"2,040.00",0.25,0.2,0.35,-1.01,-80.16%,139,203,25.78%
RUTW220331P02050000,2022-03-31 11:35AM EDT,"2,050.00",0.52,0.35,0.55,-1.88,-78.33%,121,139,23.52%
RUTW220331P02060000,2022-03-31 11:32AM EDT,"2,060.00",1,0.9,1.1,-2.25,-69.23%,72,135,22.34%
RUTW220331P02070000,2022-03-31 11:37AM EDT,"2,070.00",1.87,1.7,2,-2.93,-61.04%,84,195,20.58%
