,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT220414C01050000,2022-03-14 04:07:40+00:00,1050.0,933.55,1027.5,1048.5,0.0,0.0,,1,1.999755860595703,True,REGULAR,USD
1,RUT220414C01300000,2022-04-01 14:37:12+00:00,1300.0,781.17,776.8,798.5,111.70996,16.686577,1.0,1,1.4464139007568362,True,REGULAR,USD
2,RUT220414C01400000,2022-03-14 04:07:40+00:00,1400.0,607.56,677.7,698.5,0.0,0.0,,1,1.2518347955322264,True,REGULAR,USD
3,RUT220414C01450000,2022-03-14 04:07:40+00:00,1450.0,572.82,627.8,648.5,0.0,0.0,,1,1.1588787173461914,True,REGULAR,USD
4,RUT220414C01500000,2022-03-09 15:23:07+00:00,1500.0,509.74,577.8,598.5,0.0,0.0,1.0,2,1.0684861029052737,True,REGULAR,USD
5,RUT220414C01550000,2022-03-09 18:29:56+00:00,1550.0,475.28,527.8,548.5,0.0,0.0,1.0,3,0.9802858416748048,True,REGULAR,USD
6,RUT220414C01600000,2022-03-04 15:12:51+00:00,1600.0,408.54,477.9,498.5,0.0,0.0,2.0,4,0.8940440283203124,True,REGULAR,USD
7,RUT220414C01650000,2022-04-01 14:37:12+00:00,1650.0,431.54,427.3,449.0,98.08002,29.41283,1.0,6,0.8212298150634765,True,REGULAR,USD
8,RUT220414C01700000,2022-03-03 20:05:14+00:00,1700.0,333.13,377.4,399.0,0.0,0.0,4.0,2,0.7372767971801758,True,REGULAR,USD
9,RUT220414C01770000,2022-03-24 16:05:55+00:00,1770.0,293.15,307.6,329.0,0.0,0.0,,1,0.6215247808837892,True,REGULAR,USD
10,RUT220414C01790000,2022-03-22 14:39:19+00:00,1790.0,304.11,288.0,309.5,0.0,0.0,1.0,1,0.5977213079833985,True,REGULAR,USD
11,RUT220414C01800000,2022-03-22 13:53:09+00:00,1800.0,296.75,278.4,299.5,0.0,0.0,1.0,1,0.581180946044922,True,REGULAR,USD
12,RUT220414C01815000,2022-03-22 13:53:09+00:00,1815.0,282.35,263.7,284.5,0.0,0.0,1.0,2,0.5564009204101563,True,REGULAR,USD
13,RUT220414C01820000,2022-03-24 16:05:55+00:00,1820.0,244.67,258.6,279.5,0.0,0.0,,1,0.5481307394409182,True,REGULAR,USD
14,RUT220414C01830000,2022-02-14 05:02:54+00:00,1830.0,278.1,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
15,RUT220414C01840000,2022-03-14 17:37:39+00:00,1840.0,140.92,238.9,259.5,0.0,0.0,1.0,9,0.5151110501098632,True,REGULAR,USD
16,RUT220414C01850000,2022-03-01 20:08:19+00:00,1850.0,208.23,213.5,233.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
17,RUT220414C01855000,2022-03-15 16:19:02+00:00,1855.0,138.8,223.3,245.0,0.0,0.0,1.0,5,0.49802137725830087,True,REGULAR,USD
18,RUT220414C01870000,2022-02-25 19:10:34+00:00,1870.0,192.25,209.8,213.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
19,RUT220414C01875000,2022-03-16 13:34:18+00:00,1875.0,152.38,204.3,225.0,0.0,0.0,20.0,21,0.4645744461059571,True,REGULAR,USD
20,RUT220414C01880000,2022-03-15 18:09:07+00:00,1880.0,119.26,206.5,210.6,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
21,RUT220414C01885000,2022-03-14 04:07:41+00:00,1885.0,143.96,201.6,205.7,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
22,RUT220414C01890000,2022-02-14 05:02:54+00:00,1890.0,184.81,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
23,RUT220414C01900000,2022-03-30 17:53:35+00:00,1900.0,211.88,187.0,191.1,0.0,0.0,40.0,151,1.0000000000000003e-05,True,REGULAR,USD
24,RUT220414C01905000,2022-03-16 18:57:07+00:00,1905.0,135.19,182.1,186.2,0.0,0.0,80.0,96,0.18555501953124998,True,REGULAR,USD
25,RUT220414C01910000,2022-03-30 18:26:16+00:00,1910.0,194.97,173.6,187.0,0.0,0.0,3.0,4,0.3620974435424804,True,REGULAR,USD
26,RUT220414C01915000,2022-03-14 17:30:27+00:00,1915.0,92.43,172.3,176.2,0.0,0.0,20.0,20,0.1757894921875,True,REGULAR,USD
27,RUT220414C01920000,2022-03-21 14:30:44+00:00,1920.0,169.18,167.6,171.4,0.0,0.0,1.0,34,0.19763985961914063,True,REGULAR,USD
28,RUT220414C01925000,2022-03-23 16:48:02+00:00,1925.0,158.23,162.7,166.6,0.0,0.0,1.0,5,0.20716124877929684,True,REGULAR,USD
29,RUT220414C01930000,2022-03-30 17:53:35+00:00,1930.0,183.05,157.9,161.8,0.0,0.0,32.0,29,0.2124102197265625,True,REGULAR,USD
30,RUT220414C01935000,2022-03-28 18:44:33+00:00,1935.0,134.9,153.2,157.0,0.0,0.0,2.0,3,0.2153398779296875,True,REGULAR,USD
31,RUT220414C01940000,2022-03-30 17:52:33+00:00,1940.0,173.33,148.5,152.3,0.0,0.0,16.0,51,0.22028367614746092,True,REGULAR,USD
32,RUT220414C01945000,2022-03-17 14:03:19+00:00,1945.0,128.1,143.8,147.5,0.0,0.0,,38,0.22034471069335934,True,REGULAR,USD
33,RUT220414C01950000,2022-03-29 19:03:32+00:00,1950.0,183.95,139.2,142.8,0.0,0.0,6.0,1039,0.2222367816162109,True,REGULAR,USD
34,RUT220414C01955000,2022-03-17 14:36:43+00:00,1955.0,119.9,134.5,138.2,0.0,0.0,2.0,8,0.22538006072998046,True,REGULAR,USD
35,RUT220414C01960000,2022-03-25 19:38:51+00:00,1960.0,121.39,129.9,133.5,0.0,0.0,2.0,32,0.22507488800048825,True,REGULAR,USD
36,RUT220414C01965000,2022-03-17 14:32:31+00:00,1965.0,112.08,125.3,128.9,0.0,0.0,20.0,23,0.22599040618896482,True,REGULAR,USD
37,RUT220414C01970000,2022-03-31 17:31:43+00:00,1970.0,126.77,120.8,124.3,0.0,0.0,50.0,83,0.22602092346191405,True,REGULAR,USD
38,RUT220414C01975000,2022-03-18 15:35:05+00:00,1975.0,113.81,116.3,119.8,0.0,0.0,12.0,15,0.2269059243774414,True,REGULAR,USD
39,RUT220414C01980000,2022-03-30 19:16:58+00:00,1980.0,118.68,111.9,115.2,0.0,0.0,5.0,509,0.2254410952758789,True,REGULAR,USD
40,RUT220414C01985000,2022-03-14 18:53:45+00:00,1985.0,53.5,107.4,110.8,0.0,0.0,2.0,3,0.22620402709960938,True,REGULAR,USD
41,RUT220414C01990000,2022-03-29 18:49:03+00:00,1990.0,147.22,103.1,106.3,0.0,0.0,26.0,53,0.2248460084533691,True,REGULAR,USD
42,RUT220414C01995000,2022-03-14 19:02:19+00:00,1995.0,51.3,98.8,101.9,0.0,0.0,19.0,32,0.22412885253906245,True,REGULAR,USD
43,RUT220414C02000000,2022-04-01 19:02:19+00:00,2000.0,97.29,94.5,97.6,12.290001,14.458825,23.0,358,0.2238847143554687,True,REGULAR,USD
44,RUT220414C02005000,2022-03-29 18:45:33+00:00,2005.0,133.27,90.3,93.3,0.0,0.0,1.0,25,0.22293867889404295,True,REGULAR,USD
45,RUT220414C02010000,2022-03-31 17:29:36+00:00,2010.0,91.29,86.1,89.1,0.0,0.0,20.0,72,0.22235885070800776,True,REGULAR,USD
