,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUTW220506P01395000,2022-03-29 14:46:18+00:00,1395.0,1.0,1.05,1.3,0.0,0.0,,1,0.559574716796875,False,REGULAR,USD
1,RUTW220506P01500000,2022-03-30 16:32:10+00:00,1500.0,1.4,1.8,2.05,0.0,0.0,1.0,1,0.49921155090332037,False,REGULAR,USD
2,RUTW220506P01555000,2022-03-25 14:17:30+00:00,1555.0,3.07,2.45,3.1,0.0,0.0,3.0,3,0.4776053216552735,False,REGULAR,USD
3,RUTW220506P01595000,2022-03-25 14:17:30+00:00,1595.0,3.63,3.0,3.4,0.0,0.0,3.0,3,0.44479925323486325,False,REGULAR,USD
4,RUTW220506P01600000,2022-04-04 15:04:02+00:00,1600.0,1.68,3.1,3.4,0.0,0.0,1.0,2,0.4397639031982422,False,REGULAR,USD
5,RUTW220506P01650000,2022-03-29 14:56:15+00:00,1650.0,3.2,4.2,4.6,0.0,0.0,2.0,3,0.41354956573486323,False,REGULAR,USD
6,RUTW220506P01700000,2022-04-06 14:21:53+00:00,1700.0,6.24,5.8,6.3,3.2399998,107.99999,97.0,18,0.3880066082763671,False,REGULAR,USD
7,RUTW220506P01705000,2022-04-06 14:08:32+00:00,1705.0,6.49,6.0,6.5,-0.03000021,-0.46012592,68.0,2,0.38541264007568354,False,REGULAR,USD
8,RUTW220506P01715000,2022-04-06 14:08:32+00:00,1715.0,6.93,6.4,6.9,0.059999943,0.87336165,21.0,2,0.37995004821777345,False,REGULAR,USD
9,RUTW220506P01745000,2022-04-06 13:44:15+00:00,1745.0,7.85,8.0,8.5,1.9000001,31.932777,10.0,16,0.3660952062988281,False,REGULAR,USD
10,RUTW220506P01750000,2022-04-06 14:13:15+00:00,1750.0,9.2,8.3,8.7,4.2,83.99999,21.0,24,0.3626772717285156,False,REGULAR,USD
11,RUTW220506P01755000,2022-04-05 19:47:11+00:00,1755.0,5.85,8.5,8.9,0.0,0.0,73.0,86,0.3591983026123047,False,REGULAR,USD
12,RUTW220506P01760000,2022-04-06 14:06:09+00:00,1760.0,9.32,8.9,9.3,3.6499996,64.37389,6.0,135,0.35773347351074214,False,REGULAR,USD
13,RUTW220506P01765000,2022-04-06 14:15:17+00:00,1765.0,9.9,9.3,9.8,3.6399994,58.146954,1.0,413,0.35712312805175783,False,REGULAR,USD
14,RUTW220506P01770000,2022-04-06 14:06:09+00:00,1770.0,10.02,9.6,10.1,3.9500003,65.074135,1.0,432,0.3543460562133788,False,REGULAR,USD
15,RUTW220506P01775000,2022-04-05 19:39:33+00:00,1775.0,6.51,10.0,10.5,0.0,0.0,301.0,371,0.35240820938110345,False,REGULAR,USD
16,RUTW220506P01780000,2022-04-05 19:39:33+00:00,1780.0,6.73,10.4,10.8,0.0,0.0,312.0,327,0.3494022579956054,False,REGULAR,USD
17,RUTW220506P01785000,2022-04-06 13:53:21+00:00,1785.0,10.0,10.6,11.1,3.52,54.320988,10.0,150,0.34632001342773433,False,REGULAR,USD
18,RUTW220506P01790000,2022-04-05 19:35:30+00:00,1790.0,7.22,11.0,11.4,0.0,0.0,185.0,141,0.34311569976806633,False,REGULAR,USD
19,RUTW220506P01795000,2022-04-06 14:15:43+00:00,1795.0,12.1,11.6,12.1,4.6300006,61.98127,6.0,155,0.3433293206787109,False,REGULAR,USD
20,RUTW220506P01800000,2022-04-06 13:53:21+00:00,1800.0,11.2,11.9,12.4,3.9699998,54.91009,10.0,123,0.3398961274719238,False,REGULAR,USD
21,RUTW220506P01805000,2022-04-05 14:46:59+00:00,1805.0,13.07,12.6,13.2,6.9999995,115.321236,1.0,219,0.34050647293090824,False,REGULAR,USD
22,RUTW220506P01810000,2022-04-05 15:40:40+00:00,1810.0,6.99,13.1,13.6,0.0,0.0,87.0,263,0.337622590637207,False,REGULAR,USD
23,RUTW220506P01815000,2022-04-05 19:55:25+00:00,1815.0,8.51,13.2,13.7,0.0,0.0,38.0,65,0.33226680923461915,False,REGULAR,USD
24,RUTW220506P01820000,2022-04-05 19:07:07+00:00,1820.0,8.25,14.1,14.6,0.0,0.0,30.0,78,0.3330755169677735,False,REGULAR,USD
